プロットコード,サイトプロットコード,調査サイトID,プロットID,森林タイプa,調査サイト名,サイト名（英語）,プロット名,JaLTERサイトb,森林動態データベースb,ERデータペーパーb,サイトタイプ,経度c,緯度c,標高 (m),年平均気温(℃)d,気象観測地点,都道府県,面積(ha),形状（m）,調査年度e,冬季設置状況f,代表者g,備考
1,200701,FJ,FJ-AT1,AT,富士,Fuji,,,,,準コア,138.87,35.41,1015,9.2,アメダス・気象観測所（山中),山梨県,計0.5,50×50; 50×50,-,-,山田 利博（東京大学）,
1,202701,DI,DI-DB1,DB,大山文珠越,Daisen-monjugoe,,,,,準コア,133.55,35.36,1110,9.1,アメダス・気象観測所（下市),鳥取県,1,100×100,-,-,西村尚之（群馬大学）,
1,203101,AU,AU-EC1,EC,芦生,Ashiu,芦生枡上谷,,,E,コア,135.74,35.35,750,10.2,京都大学芦生研究林,京都府,1,100×100,2008-2016,冬季設置せず,嵜元道徳（京都大学）,
2,203102,AU,AU-DB1,DB,芦生,Ashiu,芦生モンドリ谷,,,E,コア,135.74,35.35,720,10.4,京都大学芦生研究林,京都府,1,100×100,-,-,金子隆之（京都大学）,
1,200801,AI,AI-BC1,BC,愛知赤津,Aichi-akazu,,J,,E,コア,137.17,35.22,335,14.1,アメダス・気象観測所（豊田),愛知県,1,100×100,2004-2016,通年回収,広嶋卓也（東京大学）,**
1,202201,KN,KN-EB1,EB,函南,Kannami,,,,,準コア,139.01,35.16,600,13.1,アメダス・気象観測所（三島),静岡県,1,100×100,-,-,武生雅明（東京農業大学）,
1,203201,KG,KG-EC1,EC,上賀茂,Kamigamo,,,,E,コア,135.77,35.07,140,15,京都大学上賀茂試験地,京都府,0.64*,80×80,2008-2016,越冬設置,吉岡崇仁（京都大学）,
1,203301,HD,HD-DB1,DB,半田山,Handayama,,,,,準コア,133.92,34.7,110,16.1,アメダス・気象観測所（岡山),岡山県,1,70×120; 40×40†,-,-,西村尚之（群馬大学）,
1,204401,GR,GR-DB1,DB,臥龍山,Mt. Garyu,,,,E,準コア,132.19,34.69,1150,8.5,アメダス・気象観測所（弥栄),広島県,1,100×100,-,-,井田秀行（信州大学）,
1,202801,KA,KA-EB1,EB,春日山,Kasugayama,,,,E,準コア,135.86,34.68,310,14.1,アメダス・気象観測所（奈良),奈良県,1,100×100,-,-,伊東明（大阪市立大学）,
1,204701,MY,MY-EB1,EB,宮島,Miyajima,,,,,準コア,132.33,34.3,100,16,アメダス・気象観測所（大竹),広島県,1,100×100,-,-,奥田敏統（広島大学）,
1,203401,SN,SN-EC1,EC,三之公,Sannoko,,,,,準コア,136.07,34.26,560,12.6,アメダス・気象観測所（上北山),奈良県,1,100×100,-,-,西村尚之（群馬大学）,
1,203501,TT,TT-EB1,EB,対馬龍良山,Tsushima-Mt. Tatera,,,,,準コア,129.22,34.15,160,15.4,アメダス・気象観測所（厳原),長崎県,1,100×100,-,-,西村尚之（群馬大学）,
1,201601,WK,WK-EC1,EC,和歌山,Wakayama,,J,,E,コア,135.53,34.07,825,11.1,京都大学和歌山研究林,和歌山県,1,100×100,2005-2016,通年回収,徳地直子（京都大学）,
1,202901,KJ,KJ-EB1,EB,粕屋,Kasuya,,,,E,準コア,130.55,33.65,450,15.1,アメダス・気象観測所（博多),福岡県,1,100×100,-,-,榎木勉（九州大学）,
1,201701,IC,IC-BC1,BC,市ノ又,Ichinomata,,,,E,コア,132.92,33.15,560,13.3,アメダス・気象観測所（江川崎),高知県,0.95*,100×100（一部除外）,2005-2016,通年回収,大谷達也（森林総合研究所）,
