#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,金子信博,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nishi Tanzawa (TZ-DB1). ,,,,,,,,,,,
#,SITE NAME,サイト名,丹沢,,,,,,,,,,,
#,PLOT NAME,調査区名,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TZ-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,20090324,データ成形（石原正恵）,,,,,,,,,,,,
#,,タグ重複：466、467、345、346がそれぞれ重複-→20090409段階では不明のため現状維持（仮番号をつけた),,,,,,,,,,,,
#,,１）478     178　　−−＞個体番号478に訂正,,,,,,,,,,,,
#,,２） 124     123     −−＞個体番号124に訂正,,,,,,,,,,,,
#,,３） 644     643     −−＞個体番号644に訂正,,,,,,,,,,,,
#,,マメツツジ？-->ndに,,,,,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord　をモニ1000フォーマットに変更",,,,,,,,,,,,
#,20171018,データ確認（日野貴文）,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,種名がイタヤカエデ？などのように「？」がついている個体はモニ1000仕様に合わせをndにして、noteに転記,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
#VALUE!,#VALUE!,C184,C184,？,？,ブナ,35.7 ,nd,倒木（生きている）＊座標忘れ；原点座標は暫定,行方不明,,na,na,B2
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","note13_2","s_date08","s_date13","mesh_site_original","dl08","dl13","rec08","rec13","error08","error13"
"2.7 ",66.9,"694","694",2.7,6.9,"タンナサワフタギ",21.1,21.9,"","","タンナサワフタギ？→サワフタギ",NA,NA,"A6",0,0,0,0,0,0
"1.3 ",69.5,"695","695",1.3,9.5,"タンナサワフタギ",26,26.9,"","前回GBHデータ、29.0→26.0cm","サワフタギ？→サワフタギ",NA,NA,"A6",0,0,0,0,0,0
"8.5 ",68.5,"302","302",8.5,8.5,"タンナサワフタギ",NA,31.1,"","","",NA,NA,"A6",0,0,-1,1,0,0
"8.0 ",77.4,"427","427",8,7.4,"タンナサワフタギ",17.8,19.2,"","","",NA,NA,"A7",0,0,0,0,0,0
"7.2 ",72,"428","428",7.2,2,"マメザクラ",27.5,33.9,"","","",NA,NA,"A7",0,0,0,0,0,0
"0.0 ",70.4,"429","429",0,0.4,"シナノキ",31.8,36.2,"","","",NA,NA,"A7",0,0,0,0,0,0
"0.8 ",72.8,"430","430",0.8,2.8,"ブナ",45.8,47.9,"","","",NA,NA,"A7",0,0,0,0,0,0
"2.1 ",76.6,"431","431",2.1,6.6,"ミズキ",133,140,"","","",NA,NA,"A7",0,0,0,0,0,0
"3.0 ",77.8,"432","432",3,7.8,"コミネカエデ",38.2,42.5,"","","",NA,NA,"A7",0,0,0,0,0,0
"3.0 ",79.2,"433","433",3,9.2,"シナノキ",122.7,122.8,"","","",NA,NA,"A7",0,0,0,0,0,0
"8.0 ",88,"434","434",8,8,"ミヤマイボタ",22.8,22.8,"","","",NA,NA,"A8",0,0,0,0,0,0
"6.0 ",87.3,"435","435",6,7.3,"ホオノキ",81.1,92.2,"","成長良いため同じ位置にタグ打ち直し","",NA,NA,"A8",0,0,0,0,0,0
"6.0 ",87.3,"436","435",6,7.3,"ホオノキ",31.6,31.9,"","","",NA,NA,"A8",0,0,0,0,0,0
"6.0 ",87.3,"437","435",6,7.3,"ホオノキ",74.5,76,"","成長良いため同じ位置にタグ打ち直し","",NA,NA,"A8",0,0,0,0,0,0
"6.0 ",85.9,"438","438",6,5.9,"マメザクラ",19.9,20,"","","",NA,NA,"A8",0,0,0,0,0,0
"3.4 ",86.6,"439","439",3.4,6.6,"マメザクラ",16.2,16.4,"","","",NA,NA,"A8",0,0,0,0,0,0
"9.2 ",89.2,"696","696",9.2,9.2,"ミズキ",101.1,105.5,"","","",NA,NA,"A8",0,0,0,0,0,0
"8.9 ",84,"697","697",8.9,4,"タンナサワフタギ",32,NA,"","","",NA,NA,"A8",0,1,0,0,0,0
"0.4 ",83.3,"957","957",0.4,3.3,"ヒナウチワカエデ",87.6,90.4,"","","",NA,NA,"A8",0,0,0,0,0,0
"6.4 ",81.4,"958","958",6.4,1.4,"アオダモ",15.6,16.1,"","","",NA,NA,"A8",0,0,-1,1,0,0
"6.4 ",81.4,"959","958",6.4,1.4,"アオダモ",41.6,NA,"","","",NA,NA,"A8",0,1,0,0,0,0
"6.4 ",81.4,"960","958",6.4,1.4,"アオダモ",29.1,30.2,"","","",NA,NA,"A8",0,0,0,0,0,0
"5.3 ",94.4,"C263","C263",5.3,4.4,"アオダモ",34.2,37.7,"","","",NA,NA,"A9",0,0,0,0,0,0
"4.5 ",95,"C264","C264",4.5,5,"サワシバ",48.5,51.5,"","","",NA,NA,"A9",0,0,0,0,0,0
"5.0 ",96.1,"C265","C265",5,6.1,"アオダモ",45.6,51,"","","",NA,NA,"A9",0,0,0,0,0,0
"3.1 ",95,"C266","C266",3.1,5,"カマツカ",18.5,20.6,"","","",NA,NA,"A9",0,0,0,0,0,0
"3.1 ",95,"303","C266",3.1,5,"カマツカ",NA,17.7,"","枝","",NA,NA,"A9",0,0,-1,1,0,0
"3.1 ",95.9,"C267","C267",3.1,5.9,"ツクバネウツギ",15,15,"","","",NA,NA,"A9",0,0,-1,-1,0,0
"6.7 ",99.7,"C268","C268",6.7,9.7,"タンナサワフタギ",35.6,35.3,"","","",NA,NA,"A9",0,0,0,0,0,0
"7.7 ",98.7,"C269","C269",7.7,8.7,"ノリウツギ",15,NA,"","","",NA,NA,"A9",0,1,-1,-1,0,0
