#/log,DATA CREATED,データ作成日,20170105,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,伊東明,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Mt. Kasuga (KA-EB1).,,,,,,,,,,,,,,
#,SITE NAME,サイト名,春日山,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KA-EB1,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,
#/log,20070525,Data of 2006 was arranged.,,,,,,,,,,,,,,,
#,20091020,"mesh_xcord, mesh_ycord of tag_no=723030 has been collected to (0, 20) from (2,22) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"mesh_xcord, mesh_ycord of tag_no=723029 has been collected to (0, 20) from (1,21) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"stem_xcord, stem_ycord of tag_no=723029 has been collected to (7.6, 5.4) from (8.6, 6.4) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"stem_xcord, stem_ycord of tag_no=723030 has been collected to (7.6, 5.4) from (9.6, 7.4) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,20120302,2011年データを追加、異常値はサイトに確認,,,,,,,,,,,,,,,
#,,1127047が重複->イヌガシの方が1127052だった,,,,,,,,,,,,,,,
#,,tag_no= 728041 929011 1028026 1224036 1330034 1521012 1521013 1529016のgbhは測定間違いの可能性あり->728041 929011 1224036 1330034は入力ミスのため修正、他は野帳通り,,,,,,,,,,,,,,,
#,,tag_no= 824015 1023017 1224038 1430005のgbhは測定間違いの可能性あり->gbh11をnd,,,,,,,,,,,,,,,
#,,tag_no= 825014a 921049 930009 1224034 1329039 1424057a 1625019aのgbhは測定間違いの可能性あり->gbh06をnd,,,,,,,,,,,,,,,
#,,tag_no= 1224034 のgbhは測定間違いの可能性あり->gbh11をvn,,,,,,,,,,,,,,,
#,20160105,tag no = 925040　1027007 1028006 1028010 1028012a 1028012b 1028034 1121013 1121015 1223025 1224046 1224054 1227030 1230030 1321011a 1321011b　1526012 1526019 1622005はnote11の記載漏れ-> note11に「枯死」「枯れ」「立ち枯れ」と追記、gbh11をnd->dに変更,,,,,,,,,,,,,,,
#,,tag no = 1126029は前回2011に枯としていたが、今回生存が確認されたので、前回野帳に記録していたgbh11を記入した,,,,,,,,,,,,,,,
#,,tag no = 1230034 1230042は、前回別の個体の値を計測していたと思われる->gbh11をnd,,,,,,,,,,,,,,,
#,20171005,データ確認（日野）,,,,,,,,,,,,,,,
#,,備考欄に、立ち枯れ、枯れ等の記載があるが、gbhが「na」の個体→「ｄ」を入力,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
0,10,"722017",722017,"4.1","4.3","コジイ",83.6,93,99,NA,NA,NA,"20070306","20111129",20161107,"2006_722017","2006_722017",0,0,0,0,0,0,0,0,0
0,10,"722018",722018,"4.2","4.7","ウラジロガシ",33.1,33.8,34.2,NA,NA,"種名訂正（イヌガシ→ウラジロガシ）","20070306","20111129",20161107,"2006_722018","2006_722018",0,0,0,0,0,0,0,0,0
0,10,"722019",722019,"4.4","4.9","サカキ",21.6,23.8,26.1,NA,NA,NA,"20070306","20111129",20161107,"2006_722019","2006_722019",0,0,0,0,0,0,0,0,0
0,10,"722020",722020,"7.1","2.4","サカキ",NA,NA,17.3,NA,NA,"新規加入",NA,NA,20161107,"2016_722020","2016_722020",0,0,0,-1,-1,1,0,0,0
0,10,"722021",722021,"0.9","9.8","シキミ",NA,NA,19.5,NA,NA,"新規加入",NA,NA,20161107,"2016_722021","2016_722021",0,0,0,-1,-1,1,0,0,0
0,20,"723003",723003,"1","5.4","サカキ",38,40,43.4,NA,NA,NA,"20070306","20111129",20161107,"2006_723003","2006_723003",0,0,0,0,0,0,0,0,0
0,20,"723005",723005,"3.8","6.4","クロバイ",19.4,21,23,NA,NA,NA,"20070306","20111129",20161107,"2006_723005","2006_723005",0,0,0,0,0,0,0,0,0
0,20,"723007",723007,"4.4","6.4","ウリハダカエデ",47.8,53.3,55.3,NA,NA,NA,"20070306","20111129",20161107,"2006_723007","2006_723007",0,0,0,0,0,0,0,0,0
0,20,"723011a",723011,"2.4","4","アセビ",43.6,46,46.9,"723011と同株",NA,NA,"20070306","20111129",20161107,"2006_723011a","2006_723011",0,0,0,0,0,0,0,0,0
0,20,"723011b",723011,"2.4","4","アセビ",24.1,NA,NA,"723011と同株","消失",NA,"20070306","20111129",20161107,"2006_723011b","2006_723011",0,0,1,0,0,0,0,1,0
0,20,"723015",723015,"4.6","3.2","ウラジロガシ",104.2,104.6,108.5,NA,NA,NA,"20070306","20111129",20161107,"2006_723015","2006_723015",0,0,0,0,0,0,0,0,0
0,20,"723017",723017,"7.4","0.9","サカキ",48.3,52.5,56.8,NA,NA,NA,"20070306","20111129",20161107,"2006_723017","2006_723017",0,0,0,0,0,0,0,0,0
0,20,"723018",723018,"7.8","2.6","アセビ",29,29.3,30,NA,NA,NA,"20070306","20111129",20161107,"2006_723018","2006_723018",0,0,0,0,0,0,0,0,0
0,20,"723020",723020,"9.1","3.3","アセビ",57.6,57.4,NA,NA,NA,"枯れ、傾き　723044と同株","20070306","20111129",20161107,"2006_723020","2006_723020",0,0,1,0,0,0,0,0,0
0,20,"723044",723020,"9.1","3.3","アセビ",NA,NA,19.8,NA,NA,"723020と同株",NA,NA,20161107,"2016_723044","2016_723020",0,0,0,-1,-1,1,0,0,0
0,20,"723021",723021,"5.3","9.7","アセビ",26.1,26.2,26.5,NA,NA,NA,"20070306","20111129",20161107,"2006_723021","2006_723021",0,0,0,0,0,0,0,0,0
0,20,"723025a",723025,"5.2","8.6","アセビ",19.5,20,19.9,"723025と同株",NA,NA,"20070306","20111129",20161107,"2006_723025a","2006_723025",0,0,0,0,0,0,0,0,0
0,20,"723025b",723025,"5.2","8.6","アセビ",19.2,19.5,19.3,"723025と同株",NA,NA,"20070306","20111129",20161107,"2006_723025b","2006_723025",0,0,0,0,0,0,0,0,0
0,20,"723025c",723025,"5.2","8.6","アセビ",27,27,26.6,"723025と同株",NA,NA,"20070306","20111129",20161107,"2006_723025c","2006_723025",0,0,0,0,0,0,0,0,0
0,20,"723025d",723025,"5.2","8.6","アセビ",25.8,NA,NA,"723025と同株",NA,NA,"20070306","20111129",20161107,"2006_723025d","2006_723025",0,0,0,0,0,0,0,1,1
0,20,"723028",723028,"7.6","5.4","アセビ",17.9,17.9,19.6,"723028と同株",NA,"723028と同株","20070306","20111129",20161107,"2006_723028","2006_723028",0,0,0,0,0,0,0,0,0
0,20,"723029",723028,"7.6","5.4","アセビ",43,43.5,43.1,"723028と同株",NA,"723028と同株","20070306","20111129",20161107,"2006_723029","2006_723028",0,0,0,0,0,0,0,0,0
0,20,"723030",723028,"7.6","5.4","アセビ",42.3,44.7,45.1,"723028と同株",NA,"723028と同株","20070306","20111129",20161107,"2006_723030","2006_723028",0,0,0,0,0,0,0,0,0
0,20,"723032",723032,"7.6","5.4","アセビ",24.8,25.2,26.5,NA,NA,NA,"20070306","20111129",20161107,"2006_723032","2006_723032",0,0,0,0,0,0,0,0,0
