#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-AT2）.,,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,苫小牧カラマツ人工林,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-AT2,,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.2ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#/note,20110113,"2008,2010データで新たにファイルを生成",,,,,,,,,,,,,,,
#,,2005年ではtagがないため、比較不可能、2005年はTM-AT2-2005-ver2.xlsを参照,,,,,,,,,,,,,,,
#,,1 tag_no= 618 のgbhは測定間違いの可能性あり-->08をnd（要確認）,,,,,,,,,,,,,,,
#,,2 tag_no= 655 のgbhは測定間違いの可能性あり-->08をnd（要確認）,,,,,,,,,,,,,,,
#,,3 tag_no= 656 のgbhは測定間違いの可能性あり-->08をnd（要確認）,,,,,,,,,,,,,,,
#,,4 tag_no= 673 のgbhは測定間違いの可能性あり-->10をnd（要確認）,,,,,,,,,,,,,,,
#,20110212,座標データを追加,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,20180322,データを修正　五十嵐,,,,,,,,,,,,,,,
#,,tag no=834 gbh15は前回より計測値が大きく下回る。測定間違い、書き間違いの可能性有。15をndとする,,,,,,,,,,,,,,,
#,,tag ne=872 gbh15は前回より計測値が大きく下回る。測定間違い、書き間違いの可能性有。15をndとする,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh10","gbh15","note08","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","indv_no_2010","dl08","dl10","dl15","rec08","rec10","rec15","error08","error10","error15"
"30","0",851,NA,"1.986","2.204","ミヤマザクラ",15.2,15.5,17.4,"同株4","同株12","同株20",20080000,20101013,20151015,639,639,0,0,0,-1,-1,1,0,0,0
"30","0",850,NA,"1.986","2.204","ミヤマザクラ",16.1,16.5,17.9,NA,"同株12","同株20",20080000,20101013,20151015,640,639,0,0,0,0,0,0,0,0,0
"30","0",849,NA,"4.454","2.679","カラマツ",108.1,110.3,115.3,NA,NA,"T23号根返り",20080000,20101013,20151015,641,641,0,0,0,0,0,0,0,0,0
"30","0",848,NA,"6.54","4.445","アズキナシ",22,23.5,28,NA,NA,"",20080000,20101013,20151015,642,642,0,0,0,0,0,0,0,0,0
"30","0",847,NA,"7.946","1.368","ミヤマザクラ",20,22,28.8,NA,NA,"",20080000,20101013,20151015,643,643,0,0,0,0,0,0,0,0,0
"30","0",846,NA,"9.015","6.726","ヤマグワ",17.6,19.3,23.5,NA,NA,"同株19",20080000,20101013,20151015,644,644,0,0,0,0,0,0,0,0,0
"30","0",845,NA,"8.312","9.987","ヤマグワ",16.9,18.5,23,NA,NA,"シカ食害",20080000,20101013,20151015,645,645,0,0,0,0,0,0,0,0,0
"30","10",844,NA,"9.852","0.264","カラマツ",96.2,97.8,101.4,NA,NA,"",20080000,20101013,20151015,646,646,0,0,0,0,0,0,0,0,0
"30","10",843,NA,"6.085","2.424","カラマツ",69.6,71.3,72.8,NA,NA,"",20080000,20101013,20151015,647,647,0,0,0,0,0,0,0,0,0
"30","10",842,NA,"6.003","4.688","コシアブラ",21.4,24.3,32,NA,NA,"",20080000,20101013,20151015,648,648,0,0,0,0,0,0,0,0,0
"30","10",841,NA,"6.003","4.688","カラマツ",89.4,90.8,95.6,NA,NA,"",20080000,20101013,20151015,649,649,0,0,0,0,0,0,0,0,0
"30","10",840,NA,"3.784","3.97","コシアブラ",24.3,27.2,32.9,"同株4","同株4","同株18 幹折れ",20080000,20101013,20151015,650,650,0,0,0,0,0,0,0,0,0
"30","10",839,NA,"3.784","3.97","コシアブラ",18.9,20.3,22.7,"同株4","同株4","同株18 幹折れ",20080000,20101013,20151015,651,650,0,0,0,0,0,0,0,0,0
"30","10",838,NA,"5.432","7.605","クリ",31.4,34.8,46.3,NA,NA,"",20080000,20101013,20151015,652,652,0,0,0,0,0,0,0,0,0
"30","10",837,NA,"6.438","9.795","カラマツ",85.3,NA,NA,NA,NA,"",20080000,20101013,20151015,653,653,0,1,2,0,0,0,0,0,0
"30","20",836,NA,"9.329","3.692","ミヤマザクラ",18.2,19.8,20,NA,NA,"",20080000,20101013,20151015,654,654,0,0,0,0,0,0,0,0,0
"30","20",835,NA,"4.792","4.142","カラマツ",94.9,107.4,105.6,NA,NA,"T23号根返り",20080000,20101013,20151015,655,655,0,0,0,0,0,0,1,0,0
"30","20",834,NA,"7.374","6.232","ヤマモミジ",16.2,29,19.6,NA,NA,"同株15 二股",20080000,20101013,20151015,656,656,0,0,0,0,0,0,1,0,1
"30","20",833,NA,"8.825","9.129","ヤチダモ",20,21.2,22,NA,NA,"同株14 二股",20080000,20101013,20151015,657,657,0,0,0,0,0,0,0,0,0
"30","20",832,NA,"6.386","7.399","ミヤマザクラ",18.2,20.2,26.6,NA,NA,"",20080000,20101013,20151015,658,658,0,0,0,0,0,0,0,0,0
"30","20",831,NA,"1.446","9.141","ミヤマザクラ",19.3,21.4,27.2,NA,NA,"",20080000,20101013,20151015,659,659,0,0,0,0,0,0,0,0,0
"30","20",830,NA,"1.643","7.847","コシアブラ",17.4,18.8,22,"同株5","同株5","同株13",20080000,20101013,20151015,660,660,0,0,0,0,0,0,0,0,0
"30","20",829,NA,"1.643","7.847","コシアブラ",20.9,22.8,28.2,"同株5","同株5","同株13",20080000,20101013,20151015,661,660,0,0,0,0,0,0,0,0,0
"30","20",828,NA,"1.607","4.446","ヤマモミジ",17.8,19.1,21.7,NA,NA,"",20080000,20101013,20151015,662,662,0,0,0,0,0,0,0,0,0
"30","20",827,NA,"1.428","1.838","カラマツ",43.3,43.8,NA,NA,NA,"2015枯",20080000,20101013,20151015,663,663,0,0,1,0,0,0,0,0,0
"20","20",826,NA,"9.786","2.142","コシアブラ",24.3,27.7,36,NA,NA,"幹裂け",20080000,20101013,20151015,664,664,0,0,0,0,0,0,0,0,0
"20","20",825,NA,"9.036","3.015","ミヤマザクラ",15.3,16.8,18,NA,NA,"",20080000,20101013,20151015,665,665,0,0,0,-1,1,0,0,0,0
"30","10",824,NA,"0.447","8.924","クリ",24.2,27.2,37.2,NA,NA,"根返り木架かり",20080000,20101013,20151015,666,666,0,0,0,0,0,0,0,0,0
"30","10",823,NA,"1.484","7.081","カラマツ",73.3,75.2,78.8,NA,NA,"T23号根むくれ",20080000,20101013,20151015,667,667,0,0,0,0,0,0,0,0,0
"30","10",900,NA,"3.246","7.219","ミズキ",NA,15.8,23,NA,"new","幹折れ",20080000,20101013,20151015,101,101,0,0,0,-1,1,0,0,0,0
"20","10",822,NA,"9.917","4.801","コシアブラ",25.6,27.5,35,NA,NA,"",20080000,20101013,20151015,668,668,0,0,0,0,0,0,0,0,0
"20","10",821,NA,"8.144","4.414","カラマツ",101.6,103.8,110.3,NA,NA,"",20080000,20101013,20151015,669,669,0,0,0,0,0,0,0,0,0
"20","10",820,NA,"3.687","3.665","カラマツ",73.7,75.8,NA,NA,NA,"2015枯",20080000,20101013,20151015,670,670,0,0,1,0,0,0,0,0,0
"20","10",819,NA,"0.918","2.47","カラマツ",48.25,48.3,NA,NA,NA,"2015枯",20080000,20101013,20151015,671,671,0,0,1,0,0,0,0,0,0
"10","10",818,NA,"6.165","3.596","ミズナラ",22.1,23.7,26.6,NA,NA,"",20080000,20101013,20151015,672,672,0,0,0,0,0,0,0,0,0
"10","10",817,NA,"6.568","5.278","カラマツ",92.3,24.4,96.8,NA,NA,"",20080000,20101013,20151015,673,673,0,0,0,0,0,0,0,1,0
"10","10",816,NA,"8.684","8.021","カラマツ",102,103.2,106.9,NA,NA,"",20080000,20101013,20151015,674,674,0,0,0,0,0,0,0,0,0
"20","10",815,NA,"3.444","8.416","カラマツ",94.7,97.4,104,NA,NA,"",20080000,20101013,20151015,675,675,0,0,0,0,0,0,0,0,0
"20","10",899,NA,"3.703","9.126","コシアブラ",NA,17.2,25.4,NA,"new","",20080000,20101013,20151015,103,103,0,0,0,-1,1,0,0,0,0
"20","20",814,NA,"2.766","2.481","カラマツ",106.4,108.9,116.3,NA,NA,"",20080000,20101013,20151015,676,676,0,0,0,0,0,0,0,0,0
"20","20",813,NA,"3.284","3.343","コシアブラ",29.4,32.5,40,NA,NA,"",20080000,20101013,20151015,677,677,0,0,0,0,0,0,0,0,0
"20","20",898,NA,"1.97","3.107","ナナカマド",NA,15.3,18.1,NA,"new","",20080000,20101013,20151015,102,102,0,0,0,-1,-1,1,0,0,0
"10","20",812,NA,"9.595","2.864","コシアブラ",15.9,17.3,21.4,NA,NA,"",20080000,20101013,20151015,678,678,0,0,0,0,0,0,0,0,0
"10","20",811,NA,"9.549","2.476","カラマツ",65.4,66.3,69.3,NA,NA,"",20080000,20101013,20151015,679,679,0,0,0,0,0,0,0,0,0
"10","20",810,NA,"9.542","1.258","コシアブラ",20.7,22.2,27.4,NA,NA,"",20080000,20101013,20151015,680,680,0,0,0,0,0,0,0,0,0
"10","20",809,NA,"7.661","4.82","カラマツ",88.2,90,94.8,NA,NA,"",20080000,20101013,20151015,681,681,0,0,0,0,0,0,0,0,0
"10","20",808,NA,"3.866","1.812","カラマツ",90.2,92,95.6,NA,NA,"",20080000,20101013,20151015,682,682,0,0,0,0,0,0,0,0,0
"10","20",807,NA,"2.281","0.803","コシアブラ",15,17.1,22,NA,NA,"",20080000,20101013,20151015,683,683,0,0,0,-1,1,0,0,0,0
"10","10",806,NA,"2.249","9.006","カラマツ",89.5,91.6,94.5,NA,NA,"",20080000,20101013,20151015,684,684,0,0,0,0,0,0,0,0,0
"0","10",805,NA,"9.905","6.348","カラマツ",109.3,112.8,118.8,NA,NA,"",20080000,20101013,20151015,685,685,0,0,0,0,0,0,0,0,0
"0","10",804,NA,"8.248","4.08","エゾイタヤ",17.2,17.6,20.6,NA,NA,"",20080000,20101013,20151015,686,686,0,0,0,0,0,0,0,0,0
"0","10",803,NA,"8.112","1.719","ミヤマザクラ",18.5,19,20.2,NA,NA,"傾斜木",20080000,20101013,20151015,687,687,0,0,0,0,0,0,0,0,0
"0","10",802,NA,"5.609","1.163","カラマツ",93.6,96.1,99.4,NA,NA,"",20080000,20101013,20151015,688,688,0,0,0,0,0,0,0,0,0
"0","10",801,NA,"5.322","4.153","ヤマグワ",16.7,18.1,21.8,NA,NA,"",20080000,20101013,20151015,689,689,0,0,0,0,0,0,0,0,0
"0","10",800,NA,"7.289","5.977","カラマツ",65.1,65.1,NA,NA,NA,"2015枯",20080000,20101013,20151015,690,690,0,0,1,0,0,0,0,0,0
"0","10",799,NA,"8.228","8.483","カラマツ",69,70.3,71.4,NA,NA,"",20080000,20101013,20151015,691,691,0,0,0,0,0,0,0,0,0
"0","10",798,NA,"1.092","4.06","カラマツ",95.5,98.5,104.5,NA,NA,"",20080000,20101013,20151015,692,692,0,0,0,0,0,0,0,0,0
"0","10",797,NA,"1.459","7.24","エゾイタヤ",27.8,28.4,32.3,NA,NA,"",20080000,20101013,20151015,693,693,0,0,0,0,0,0,0,0,0
"0","10",796,NA,"1.807","8.376","エゾヤマザクラ",39.5,40.4,43.2,NA,NA,"",20080000,20101013,20151015,694,694,0,0,0,0,0,0,0,0,0
"0","10",795,NA,"2.811","7.605","カラマツ",64.4,66.6,70.6,NA,NA,"",20080000,20101013,20151015,695,695,0,0,0,0,0,0,0,0,0
"0","20",794,NA,"1.889","0.212","カラマツ",83.1,85.7,90.5,NA,NA,"",20080000,20101013,20151015,696,696,0,0,0,0,0,0,0,0,0
"0","20",793,NA,"3.024","2.255","カラマツ",92.3,94.1,97,NA,NA,"",20080000,20101013,20151015,697,697,0,0,0,0,0,0,0,0,0
"0","20",792,NA,"3.648","1.781","ヤマモミジ",30.2,31.7,34.1,NA,NA,"",20080000,20101013,20151015,698,698,0,0,0,0,0,0,0,0,0
"0","20",791,NA,"4.842","1.253","ヤマグワ",17.9,18.8,22,NA,NA,"",20080000,20101013,20151015,699,699,0,0,0,0,0,0,0,0,0
"0","20",790,NA,"4.872","4.764","コシアブラ",14.7,17.3,22,NA,"同株13","同株11",20080000,20101013,20151015,700,700,0,0,0,-1,1,0,0,0,0
"0","20",897,NA,"4.872","4.764","コシアブラ",NA,15.2,20,NA,"同株13 new","同株11",20080000,20101013,20151015,104,700,0,0,0,-1,-1,1,0,0,0
"0","40",701,NA,"5.779","9.823","カラマツ",92,96.3,98.3,NA,"足取飛ぶ 杭Dへ","杭D T23号根返り",20080000,20101013,20151015,701,701,0,0,0,0,0,0,0,0,0
"0","40",702,NA,"8.528","7.839","カラマツ",105.3,107.6,112,NA,NA,"",20080000,20101013,20151015,702,702,0,0,0,0,0,0,0,0,0
"0","40",703,NA,"6.97","4.957","カラマツ",83.8,84,85,NA,NA,"",20080000,20101013,20151015,703,703,0,0,0,0,0,0,0,0,0
"0","40",890,NA,"7.221","6.656","ミヤマザクラ",NA,15.5,16,NA,"new","T23号幹裂け",20080000,20101013,20151015,105,105,0,0,0,-1,-1,1,0,0,0
"0","40",704,NA,"3.051","4.492","カラマツ",104.9,107.3,113.2,NA,NA,"",20080000,20101013,20151015,704,704,0,0,0,0,0,0,0,0,0
"0","40",705,NA,"3.776","2.515","ミズナラ",37,37,NA,NA,NA,"2015枯",20080000,20101013,20151015,705,705,0,0,1,0,0,0,0,0,0
"0","40",706,NA,"5.709","1.537","キハダ",37.2,38.2,39.8,NA,NA,"T23号根返り",20080000,20101013,20151015,706,706,0,0,0,0,0,0,0,0,0
"0","40",707,NA,"8.835","0.048","カラマツ",80,82,86.8,NA,NA,"",20080000,20101013,20151015,707,707,0,0,0,0,0,0,0,0,0
"10","30",708,NA,"3.749","8.828","カラマツ",89.3,91.8,95,NA,NA,"",20080000,20101013,20151015,708,708,0,0,0,0,0,0,0,0,0
"10","30",709,NA,"5.525","8.617","ナナカマド",26.3,27.5,31.2,NA,NA,"",20080000,20101013,20151015,709,709,0,0,0,0,0,0,0,0,0
"10","40",710,NA,"6.635","2.817","ハリギリ",20,20.4,23.5,NA,NA,"",20080000,20101013,20151015,710,710,0,0,0,0,0,0,0,0,0
"10","40",711,NA,"2.933","6.124","カラマツ",115.9,117.2,123,NA,NA,"",20080000,20101013,20151015,711,711,0,0,0,0,0,0,0,0,0
"10","40",712,NA,"3.691","8.36","エゾヤマザクラ",24.3,24.6,NA,NA,NA,"2015枯",20080000,20101013,20151015,712,712,0,0,1,0,0,0,0,0,0
"10","40",891,NA,"2.867","9.967","アズキナシ",NA,16.3,19.4,NA,NA,"",20080000,20101013,20151015,106,106,0,0,0,-1,1,0,0,0,0
"10","50",713,NA,"4.609","0.982","アズキナシ",16.5,17.3,20.2,NA,NA,"",20080000,20101013,20151015,713,713,0,0,0,0,0,0,0,0,0
"10","50",714,NA,"5.677","1.216","カラマツ",103.1,104.7,108.3,NA,NA,"",20080000,20101013,20151015,714,714,0,0,0,0,0,0,0,0,0
