#/log,DATA CREATED,データ作成日,20180320 ,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,榎木　勉,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kasuya (KJ-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,糟屋(糟屋陣場),,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KJ-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,20120111,2011年データの追加,,,,,,,,,,,,,,,,
#,,A384 A529 B52 gbh測定間違いの可能性あり -> gbh06をndに,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,,2006年データのコマユミは全てツリバナに修正,,,,,,,,,,,,,,,,
#,,2008年にも測定を行なっており、新規個体のうち基準以下のサイズでも2008年の記録をもとにエラー扱いとしたものもある,,,,,,,,,,,,,,,,
#,20170803,データ確認（日野）,,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","新規タグ","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
20,0,"C114","C114",2.5,0.5,"ヤブニッケイ",17,17,17.2,"","","タグ付替(元A35)",20060425,20111110,20161111,"2006_A35","2006_A35","C114",0,0,0,0,0,0,0,0,0
20,0,"B463","B463",2.5,2.5,"ヤブツバキ",19.8,20.6,20.7,"","ラベル落ち（元A36)","",20060425,20111110,20161111,"2006_A36","2006_A36","",0,0,0,0,0,0,0,0,0
20,0,"A37","A37",4,3.8,"シロダモ",18.2,18.4,18.5,"","","",20060425,20111110,20161111,"2006_A37","2006_A37","",0,0,0,0,0,0,0,0,0
20,0,"B464","B464",6.8,3.2,"タブノキ",25.5,28.2,29,"","ラベル落ち(元A38）","",20060425,20111110,20161111,"2006_A38","2006_A38","",0,0,0,0,0,0,0,0,0
20,0,"B465","B465",8.8,4.1,"シロダモ",20,21.4,22,"","ラベル落ち（元A39)","",20060425,20111110,20161111,"2006_A39","2006_A39","",0,0,0,0,0,0,0,0,0
20,0,"A40","A40",6.8,4.9,"スギ",128.8,130.9,133.9,"","","",20060425,20111110,20161111,"2006_A40","2006_A40","",0,0,0,0,0,0,0,0,0
20,0,"A41","A41",8.6,7,"ネズミモチ",21.1,20.3,NA,"","","枯",20060425,20111110,20161111,"2006_A41","2006_A41","",0,0,1,0,0,0,0,0,0
20,0,"C116","C116",8.8,7.6,"ヤブツバキ",34.4,34.8,34.6,"","","タグ付替(元A42)",20060425,20111110,20161111,"2006_A42","2006_A42","C116",0,0,0,0,0,0,0,0,0
20,0,"A43","A43",7.7,7.2,"ヤブニッケイ",15.5,16.2,16.4,"","","",20060425,20111110,20161111,"2006_A43","2006_A43","",0,0,0,-1,1,0,0,0,0
20,0,"C115","C115",8,8.4,"ヤブツバキ",29.3,30.3,31.2,"","A44と同株","タグ付替(元A44)",20060425,20111110,20161111,"2006_A44","2006_A44","C115",0,0,0,0,0,0,0,0,0
20,0,"A45","C115",8,8.4,"ヤブツバキ",37.5,38.7,39.6,"","A44と同株（元個体タグA45）","",20060425,20111110,20161111,"2006_A45","2006_A44","",0,0,0,0,0,0,0,0,0
20,0,"A47","A47",5.5,6.8,"ネズミモチ",27.2,27.8,28,"","","",20060425,20111110,20161111,"2006_A47","2006_A47","",0,0,0,0,0,0,0,0,0
20,0,"A48","A48",7.1,5,"シロダモ",16,17,18,"","","",20060425,20111110,20161111,"2006_A48","2006_A48","",0,0,0,0,0,0,0,0,0
20,0,"C117","C117",3,5.6,"スギ",79.7,79.8,80,"","","タグ付替(元A49)",20060425,20111110,20161111,"2006_A49","2006_A49","C117",0,0,0,0,0,0,0,0,0
20,0,"C118","C118",1.4,3.6,"ヤブツバキ",48.4,48.6,49.7,"","","タグ付替(元A50)",20060425,20111110,20161111,"2006_A50","2006_A50","C118",0,0,0,0,0,0,0,0,0
20,0,"A51","A51",0.6,5,"カゴノキ",92.5,95.3,95.8,"","","",20060425,20111110,20161111,"2006_A51","2006_A51","",0,0,0,0,0,0,0,0,0
