#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ontake-nigorigo (NG-EC1).,,,,,,,,,,,,,
#,SITE NAME,サイト名,御岳濁河(亜高山帯常緑針葉樹林),,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,NG-EC1,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,2006,データ作成(西村尚之)2ha分,,,,,,,,,,,,,,
#,20080429,1ha分,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,
#,20101116,tag重複多数,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,
#,20110126,2010年度分データの差し替え（2005年分も）,,,,,,,,,,,,,,
#,,note05はデータなし（2005年データと対応させるのが困難なため、元データ参照）,,,,,,,,,,,,,,
#,,"tag_no=nYA795 重複　-1,-2をつけた（-2の方が番号の並びからすると怪しい）-->(50,20)の方がnYA695の間違い",,,,,,,,,,,,,,
#,20110217,西村さんより追加修正（タグNo、座標など）,,,,,,,,,,,,,,
#,20170608,データ確認（日野）,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,30,"aS_184","aS_184",5,7.3,"オオシラビソ",NA,NA,17,NA,NA,"新規",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,30,"aS_655","aS_655",3.8,7.7,"オオシラビソ",NA,NA,15,NA,NA,"nYA875をアルミタグに付け替え",NA,NA,"20150930",NA,0,0,0,-1,-1,-1,0,0,0
0,40,"aS_189","nYA19",1.7,0.4,"シラビソ",121.7,125.9,129.6,NA,NA,"生長よいを確認済","20050913","20100831","20150930","nYA19",0,0,0,0,0,0,0,0,0
0,40,"aS_192","nYA18",5.4,2.5,"シラビソ",19.3,25.9,31.3,NA,NA,"生長よいを確認済","20050913","20100831","20150930","nYA18",0,0,0,0,0,0,0,0,0
0,40,"aS_191","nYA20",3.6,2.9,"オオシラビソ",93.1,97,102.2,NA,NA,"生長よいを確認済","20050913","20100831","20150930","nYA20",0,0,0,0,0,0,0,0,0
0,40,"aS_188","aS_188",0.6,0.4,"オオシラビソ",NA,NA,18.6,NA,NA,"新規",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,40,"aS_190","aS_190",3.7,1,"オオシラビソ",NA,NA,19.3,NA,NA,"新規",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,40,"aS_193","aS_193",7.1,0.9,"オオシラビソ",NA,NA,16.5,NA,NA,"新規，位置修正（確認）済",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,40,"aS_643","aS_643",3.3,5.1,"オオシラビソ",NA,NA,25.7,NA,NA,NA,NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,40,"aS_644","aS_644",2,6.1,"オオシラビソ",NA,NA,17.5,NA,NA,NA,NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,40,"aS_645","aS_645",2.5,6.6,"オオシラビソ",NA,NA,15.2,NA,NA,NA,NA,NA,"20150930",NA,0,0,0,-1,-1,-1,0,0,0
0,40,"aS_646","aS_646",2.7,4.1,"オオシラビソ",NA,NA,19.8,NA,NA,NA,NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,40,"aS_647","aS_647",3.7,4.4,"オガラバナ",NA,NA,17.2,NA,NA,NA,NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,50,"aS_284","nYA22",9.7,4,"オオシラビソ",100.3,103.4,107.2,NA,NA,NA,"20050914","20100831","20150929","nYA22",0,0,0,0,0,0,0,0,0
0,50,"aS_288","nYA21",5.9,4.2,"コメツガ",102,104.8,108,NA,NA,NA,"20050914","20100831","20150929","nYA21",0,0,0,0,0,0,0,0,0
0,50,"aS_289","nYA25",3.5,8.4,"トウヒ",346.5,347.7,350.5,NA,NA,NA,"20050913","20100831","20150929","nYA25",0,0,0,0,0,0,0,0,0
0,50,"aS_286","nYA24",6.9,9,"コメツガ",47.1,49.4,51.8,NA,NA,NA,"20050914","20100831","20150929","nYA24",0,0,0,0,0,0,0,0,0
