#/log,DATA CREATED,データ作成日,20140220,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,杉田久志,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at 御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,,別番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#/note,20090325,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,,"1991,1998,2003年のデータあり",,,,,,,,,,,,,,,,
#,,1991年台風被害をnote91.1として入力,,,,,,,,,,,,,,,,
#,,"gbh1991,1998,2003--> note.gbh91, note.gbh98, note.gbh03",,,,,,,,,,,,,,,,
#,20091224,"Data censused in 1991, 1998, 2003 were excluded because Monitoring Sites 1000 started from 2004.",,,,,,,,,,,,,,,,
#,20101220,イタヤカエデは全てアカイタヤ（杉田さんより）。イタヤカエデ->アカイタヤ,,,,,,,,,,,,,,,,
#,20171211,公開用にデータの体裁整え（日野）,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","memo1","memo2","memo3","新No.","X","X.1","dl08","dl13","rec08","rec13","error08","error13"
10,30,568,"RG444",3.7,3.3,"スギ",121.7,122.6,"","",20081112,20130926,"RG","E","",444,NA,NA,0,0,0,0,0,0
10,30,567,"RG445",4.4,2.7,"サワグルミ",168.2,173,"","",20081112,20130926,"RG","E","",445,NA,NA,0,0,0,0,0,0
10,30,566,"RG448",7.3,2.3,"トチノキ",48.7,50.9,"","",20081112,20130926,"RG","E","",448,NA,NA,0,0,0,0,0,0
30,30,561,"RG453",5.2,7.1,"トチノキ",104.5,116,"","",20081112,20130926,"RG","E","",453,NA,NA,0,0,0,0,0,0
30,30,557,"RG454",9.1,5,"ブナ",191,202.4,"","",20081112,20130926,"RG","E","",454,NA,NA,0,0,0,0,0,0
30,30,558,"RG454",9.3,4.5,"ブナ",131.9,135.8,"","",20081112,20130926,"RG","E","",455,NA,NA,0,0,0,0,0,0
30,30,560,"RG454",9.1,5.5,"ブナ",NA,149,"","測定位置変更",20081112,20130926,"RG","E","",456,NA,NA,0,0,0,0,1,2
30,30,556,"RG457",9.2,9.7,"サワグルミ",122.7,129,"","",20081112,20130926,"RG","E","",457,NA,NA,0,0,0,0,0,0
30,30,559,"E559",9,5.3,"ブナ",30.8,NA,"","→枯れ折れ",20081112,20130926,"","E","",NA,NA,NA,0,1,0,0,0,0
40,30,552,"RG460",8.4,5.6,"ブナ",139.6,144.1,"","",20081112,20130926,"RG","E","",460,NA,NA,0,0,0,0,0,0
40,30,553,"E553",6.6,7.7,"トチノキ",139,NA,"根元割れ寄りかかり","→根返り枯れ",20081112,20130926,"","E","",NA,NA,NA,0,1,0,0,0,0
50,30,547,"RG462",2.5,3.5,"サワグルミ",106.3,110.7,"","",20081112,20130926,"RG","E","RD856",462,NA,NA,0,0,0,0,0,0
50,30,546,"RG463",8.8,8.3,"ブナ",229.3,232.1,"","",20081112,20130926,"RG","E","",463,NA,NA,0,0,0,0,0,0
60,30,541,"RG468",8.1,8,"トチノキ",158.5,161.1,"","",20081112,20130926,"RG","E","",468,NA,NA,0,0,0,0,0,0
70,30,540,"RG471",5.1,6.1,"トチノキ",211,211.7,"","",20081112,20130926,"RG","E","",471,NA,NA,0,0,0,0,0,0
10,40,208,"RG390",6.7,9.8,"トチノキ",146.9,149,"","",20081112,20130926,"RG","D","",390,NA,NA,0,0,0,0,0,0
