#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-AT3）.,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,,
#,PLOT NAME,調査地名,苫小牧トドマツ人工林,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-AT3,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.225ha,50×45,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,,2007年まで周囲長30cm以下は対象外,,,,,,,,,,,,,,
#/log,20120124,2011年データを追加,,,,,,,,,,,,,,
#,,幹座標を追加（元データのXとYは入れ替えた）,,,,,,,,,,,,,,
#,,tag_no = 325 475 516 測定間違いの可能性あり　-> 入力間違いではない　gbh11をnd,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#/data,,20110809,2008年データからデータ作成（2006年データはタグがなかったため別シートに）,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh11","note08","note11","s_date08","s_date11","stem_id","indv_id","sort","code","dl08","dl11","rec08","rec11","error08","error11"
NA,NA,305,305,28.092,32.266,"トドマツ",35.8,36.7,NA,NA,NA,NA,"2008_305","2008_305",106,2,0,0,0,0,0,0
NA,NA,306,306,31.612,33.965,"トドマツ",60.4,60.8,NA,NA,NA,NA,"2008_306","2008_306",107,2,0,0,0,0,0,0
NA,NA,307,307,35.6,30.51,"トドマツ",68.5,72,NA,NA,NA,NA,"2008_307","2008_307",108,2,0,0,0,0,0,0
NA,NA,308,308,34.121,28.479,"トドマツ",71.8,74.1,NA,NA,NA,NA,"2008_308","2008_308",109,2,0,0,0,0,0,0
NA,NA,309,309,32.015,27.808,"トドマツ",80.6,86,NA,NA,NA,NA,"2008_309","2008_309",110,2,0,0,0,0,0,0
NA,NA,310,310,31.226,30.165,"トドマツ",57,58.6,NA,NA,NA,NA,"2008_310","2008_310",111,2,0,0,0,0,0,0
NA,NA,311,311,29.152,29.823,"トドマツ",43.5,43.7,NA,NA,NA,NA,"2008_311","2008_311",112,2,0,0,0,0,0,0
NA,NA,312,312,30.049,28.049,"トドマツ",49.5,50,NA,NA,NA,NA,"2008_312","2008_312",113,2,0,0,0,0,0,0
NA,NA,313,313,28.137,27.753,"トドマツ",78.8,82.2,NA,NA,NA,NA,"2008_313","2008_313",114,2,0,0,0,0,0,0
NA,NA,314,314,25.839,27.716,"トドマツ",62.1,62.9,NA,NA,NA,NA,"2008_314","2008_314",115,2,0,0,0,0,0,0
NA,NA,315,315,23.788,28.704,"トドマツ",71.1,73.5,NA,NA,NA,NA,"2008_315","2008_315",116,2,0,0,0,0,0,0
NA,NA,316,316,26.734,31.056,"トドマツ",68.5,69.9,NA,NA,NA,NA,"2008_316","2008_316",117,2,0,0,0,0,0,0
NA,NA,317,317,24.965,30.969,"トドマツ",63.2,65.5,NA,NA,NA,NA,"2008_317","2008_317",118,2,0,0,0,0,0,0
NA,NA,318,318,22.541,30.9,"トドマツ",47.7,48,NA,NA,NA,NA,"2008_318","2008_318",119,2,0,0,0,0,0,0
NA,NA,319,319,20.893,29.637,"トドマツ",58.2,61.3,NA,NA,NA,NA,"2008_319","2008_319",120,2,0,0,0,0,0,0
NA,NA,320,320,16.448,29.23,"ホオノキ",23.8,23.7,NA,NA,NA,NA,"2008_320","2008_320",121,35,0,0,0,0,0,0
NA,NA,321,321,15.658,31.736,"ホオノキ",23.6,23.6,NA,NA,NA,NA,"2008_321","2008_321",122,35,0,0,0,0,0,0
NA,NA,322,322,14.238,30.405,"トドマツ",63.7,66.8,NA,NA,NA,NA,"2008_322","2008_322",123,2,0,0,0,0,0,0
NA,NA,323,323,14.003,29.815,"ホオノキ",18.8,18.8,NA,NA,NA,NA,"2008_323","2008_323",124,35,0,0,0,0,0,0
NA,NA,324,324,12.038,31.424,"トドマツ",75.5,77,NA,NA,NA,NA,"2008_324","2008_324",125,2,0,0,0,0,0,0
NA,NA,325,325,10.107,31.328,"トドマツ",63.1,54.4,NA,NA,NA,NA,"2008_325","2008_325",126,2,0,0,0,0,0,1
NA,NA,326,326,9.14,31.853,"ホオノキ",31.8,32.7,NA,NA,NA,NA,"2008_326","2008_326",127,35,0,0,0,0,0,0
NA,NA,327,327,7.099,30.341,"ホオノキ",23.5,23.7,"同株2","同株２",NA,NA,"2008_327","2008_327",128,35,0,0,0,0,0,0
