#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kiso-akasawa (KI-EC1).,,,,,,,,,,
#,SITE NAME,サイト名,木曽,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,
#,PLOT CODE,調査区コード,KI-EC1,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,
#,,note,備考,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,
#/note,20090421,データ成形（石原）,,,,,,,,,,,
#,,タグNoの重複多数だったので、セルx座標_セルy座標_タグ番号に書き換えた。,,,,,,,,,,,
#,,異なるセルで同株の幹はなかったので、セルx座標_セルy座標_個体番号に書き換えた。,,,,,,,,,,,
#,,100_30_593が２個体あったので、ホオノキを100_30_592に変更,,,,,,,,,,,
#,20091020,"mesh_xcord(Moni1000)=mesh_xcord(origina)-10, mesh_ycord(Moni1000)=mesh_ycord(original)-10",,,,,,,,,,,
#,20171006,公開データのためのエラーチェック（日野）,,,,,,,,,,,
#,,note_13に「G08測定ミス」「G08過大」と書かれている幹個体のgbh08の計測値の前にndを入力,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","新ID","dl08","dl13","rec08","rec13","error08","error13"
0,40,"198","198",5.9,5.2,"ホオノキ",32.3,33.1,NA,NA,39685,41508,"nWA50",0,0,0,0,0,0
0,40,"wG1","WG1",2.3,5.8,"アスナロ",15.6,NA,"傾く","幹折",39685,41508,"",0,1,-1,-1,0,0
0,40,"41","41",1.4,7.6,"アスナロ",21.7,21.3,"ネル","縮む",39685,41508,"nWA52",0,0,0,0,0,0
0,40,"200","200",6.7,8.3,"アスナロ",31.1,NA,NA,"幹折",39685,41508,"",0,1,0,0,0,0
0,40,"43","43",2.4,8.7,"アスナロ",17.6,16.8,"傾く","倒れて縮む",39685,41508,"nWA53",0,0,0,0,0,0
0,40,"42","42",0,8.8,"ヒノキ",29,28.5,NA,"G08測定ミス",39685,41508,"nWA51",0,0,0,0,1,0
0,40,"201","201",6.4,8.8,"ホオノキ",25.4,25.5,NA,NA,39685,41508,"nWA55",0,0,0,0,0,0
0,40,"45","45",3.7,8.9,"アスナロ",89,89.4,NA,NA,39685,41508,"nWA54",0,0,0,0,0,0
0,40,"203","203",5.2,9.2,"アスナロ",18.2,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,40,"202","202",5.7,9.4,"コミネカエデ",23.4,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,50,"204","204",5.8,0.5,"アオダモ",19.2,20.3,NA,NA,39685,41508,"nWA60",0,0,0,0,0,0
0,50,"46","46",2.4,3,"ヒノキ",205.5,204.5,NA,"G08測定ミス",39685,41508,"nWA56",0,0,0,0,1,0
0,50,"208","208",7.5,4,"ヒノキ",170.3,174.3,NA,"根上りで測定",39685,41508,"nWA61",0,0,0,0,0,0
0,50,"210","210",8.5,4.2,"アスナロ",21.7,21.9,NA,NA,39685,41508,"nWA62",0,0,0,0,0,0
0,50,"209","209",6.8,4.3,"アスナロ",22.8,22.4,NA,"縮む",39685,41508,"nWA63",0,0,0,0,0,0
0,50,"wG59","WG59",5.7,5.7,"シロモジ",19.7,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,50,"wG59","WG60",5.7,5.7,"シロモジ",19,18.5,NA,"縮む",39685,41508,"nWA59",0,0,0,0,0,0
0,50,"48","48",1.7,6.2,"アスナロ",18.5,18.9,NA,NA,39685,41508,"nWA58",0,0,0,0,0,0
0,50,"47","47",0,6.3,"ホオノキ",40,40.4,NA,NA,39685,41508,"nWA57",0,0,0,0,0,0
0,50,"215","215",8.4,6.4,"ホオノキ",21.5,21.1,NA,"G08測定ミス",39685,41508,"nWA64",0,0,0,0,1,0
0,50,"216","216",8.8,6.5,"アスナロ",21.1,21.1,NA,NA,39685,41508,"nWA65",0,0,0,0,0,0
0,50,"217","217",6.1,7.3,"アスナロ",29.5,30,NA,NA,39685,41508,"nWA66",0,0,0,0,0,0
0,50,"49","49",1.6,8.5,"ホオノキ",34.5,34.7,NA,NA,39685,41508,"nWA67",0,0,0,0,0,0
0,50,"218","218",8.2,8.7,"アスナロ",26.4,26.2,NA,"縮む",39685,41508,"nWA68",0,0,0,0,0,0
0,50,"219","219",9.5,9,"アスナロ",31.1,31.1,NA,NA,39685,41508,"nWA69",0,0,0,0,0,0
0,50,"220","220",7.3,9.6,"アスナロ",19,19.3,NA,NA,39685,41508,"nWA70",0,0,0,0,0,0
0,60,"242","242",6.5,0.8,"ヒノキ",181,188,NA,"G08測定ミス",39685,41508,"nWA71",0,0,0,0,1,0
0,60,"246","246",8.3,1.9,"アスナロ",19.1,NA,NA,"立枯",39685,41508,"",0,1,0,0,0,0
0,60,"247","247",9.8,1.9,"アスナロ",71.9,73.6,NA,NA,39685,41508,"nWA74",0,0,0,0,0,0
0,60,"243","243",5.9,2.1,"ヒノキ",164.9,180.5,NA,"G08測定ミス",39685,41508,"nWA72",0,0,0,0,1,0
0,60,"wG61","WG61",8,2.6,"アスナロ",16,16.3,"傾く",NA,39685,41508,"nWA77",0,0,0,0,0,0
0,60,"245","245",7,2.6,"アスナロ",55.2,55.5,NA,NA,39685,41508,"nWA73",0,0,0,0,0,0
0,60,"51","51",1.8,3.5,"アスナロ",30.1,30.7,NA,NA,39685,41508,"nWA78",0,0,0,0,0,0
0,60,"249","249",7.2,4.5,"アスナロ",17.8,17.9,NA,NA,39685,41508,"nWA75",0,0,0,0,0,0
