#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,武生　雅明,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kannami (KN-EB1).,,,,,,,,,,,,,,
#,SITE NAME,サイト名,函南・600,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KN-EB1,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,
#,20091020,"mesh_xcord, mesh_ycord were reformatted.",,,,,,,,,,,,,,,
#,20110307,2010年データの追加,,,,,,,,,,,,,,,
#,20110328,データチェック（鈴木智之）,,,,,,,,,,,,,,,
#,,tag_no=E588、E589はE551とは別種、別区画->indv_noをE588に変更,,,,,,,,,,,,,,,
#,,tag_no=F287はF89とは別種->F86と同株の間違い？とりあえずindv_tag=F287とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=C586はE116とは別種->種名間違い？F121と同株の間違い？とりあえずindv_tag=C586とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=F107はgbh09をnd,,,,,,,,,,,,,,,
#,,tag_no=E906はgbh10をcd,,,,,,,,,,,,,,,
#,,tag_no=E233はgbh10をnd,,,,,,,,,,,,,,,
#,,すでに枯死していた個体を「dd」に,,,,,,,,,,,,,,,
#,20170621,データ確認（日野）,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れ等の枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15からは状態が予測できない個体→「nd」を入力,,,,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","indv_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
40,0,"F93","F93",NA,NA,"ムラサキシキブ",17.5,17.5,18.3,NA,"","",20050916,20100918,20150915,"F93","F93",0,0,0,0,0,0,0,0,0
40,0,"F92","F92",NA,NA,"コクサギ",20.1,19.7,NA,NA,"こぶ下で測定","折れ、萌芽幹あり",20050916,20100918,20150915,"F92","F92",0,0,1,0,0,0,0,0,0
40,0,"F90","F90",NA,NA,"エゴノキ",44.4,NA,NA,NA,"枯れ","",20050916,20100918,20150915,"F90","F90",0,1,2,0,0,0,0,0,0
40,0,"F91","F91",NA,NA,"オオモミジ",115.2,122.9,129.8,NA,"","",20050916,20100918,20150915,"F91","F91",0,0,0,0,0,0,0,0,0
40,0,"F94","F94",NA,NA,"ケヤキ",160,161.9,163.9,NA,"","",20050916,20100918,20150915,"F94","F94",0,0,0,0,0,0,0,0,0
50,0,"F96","F98",NA,NA,"アブラチャン",15.9,15.9,NA,NA,"","",20050916,20100918,20150915,"F96","F98",0,0,1,0,0,0,0,0,0
50,0,"F97","F98",NA,NA,"アブラチャン",19.7,21.5,NA,NA,"","倒木、枯死",20050916,20100918,20150915,"F97","F98",0,0,1,0,0,0,0,0,0
50,0,"F98","F98",NA,NA,"アブラチャン",31.7,NA,NA,NA,"枯れ","",20050916,20100918,20150915,"F98","F98",0,1,2,0,0,0,0,0,0
50,0,"F95","F95",NA,NA,"イロハモミジ",43,50.3,57.7,NA,"","",20050916,20100918,20150915,"F95","F95",0,0,0,0,0,0,0,0,0
60,0,"F105","F105",NA,NA,"コクサギ",16.1,NA,NA,NA,"枯れ","",20050916,20100918,20150915,"F105","F105",0,1,2,0,0,0,0,0,0
60,0,"F106","F106",NA,NA,"アカガシ",17,18.7,19.5,NA,"","",20050916,20100918,20150915,"F106","F106",0,0,0,0,0,0,0,0,0
60,0,"F101","F101",NA,NA,"ムラサキシキブ",17.1,NA,NA,NA,"消失","",20050916,20100918,20150915,"F101","F101",0,1,2,0,0,0,0,0,0
60,0,"F99","F99",NA,NA,"イヌガシ",21.3,28.9,33.9,NA,"","",20050916,20100918,20150915,"F99","F99",0,0,0,0,0,0,0,0,0
60,0,"F102","F102",NA,NA,"アカガシ",25.7,34.3,NA,NA,"","",20050916,20100918,20150915,"F102","F102",0,0,1,0,0,0,0,0,0
60,0,"F103","F103",NA,NA,"アカガシ",27.6,37.4,45.7,NA,"","",20050916,20100918,20150915,"F103","F103",0,0,0,0,0,0,0,0,0
60,0,"F100","F100",NA,NA,"シラキ",73.1,75.2,77.7,NA,"","",20050916,20100918,20150915,"F100","F100",0,0,0,0,0,0,0,0,0
70,0,"F113","F113",NA,NA,"ツリバナ",16.2,16.4,16.4,NA,"","葉が無い",20050916,20100918,20150915,"F113","F113",0,0,0,0,0,0,0,0,0
70,0,"F112","F112",NA,NA,"アオキ",16.5,16.7,15.7,NA,"","樹皮剥がれ有",20050916,20100918,20150915,"F112","F112",0,0,0,0,0,0,0,0,0
