#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,新山馨,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Yakushima-shoyojyurin (YK-EB1）.,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,屋久島 照葉樹林,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,YK-EB1,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,
#/note,20090516,gbh06にvi（ツル込み）が入っていたものは数値に戻した（石原）。,,,,,,,,,,,,,,,,,,
#,,tag_no=M427 アカソガシワ-->アカメガシワ,,,,,,,,,,,,,,,,,,
#,,tag_no=R913 イヌガシ？-→イヌガシ,,,,,,,,,,,,,,,,,,
#,,note06.1 is a block number.->mesh_original(20101116),,,,,,,,,,,,,,,,,,
#,,同株とコメントにある場合は、indv_noを同株個体のものを入力した,,,,,,,,,,,,,,,,,,
#,20091022,データ作成者に問い合わせて下記を修正,,,,,,,,,,,,,,,,,,
#,,H724幹のY座標を56.0から5.6に変更,,,,,,,,,,,,,,,,,,
#,,1.タグ番号Q608　X座標＝121→84.1,,,,,,,,,,,,,,,,,,
#,,2.タグ番号L929　X座標＝145→77.5,,,,,,,,,,,,,,,,,,
#,,3.タグ番号Q128　X座標＝153→69.3,,,,,,,,,,,,,,,,,,
#,,4.タグ番号H469　X座標＝121→48.1,,,,,,,,,,,,,,,,,,
#,20091029,"タグ番号N416,417　シャシャンポ-->シャシャンボ",,,,,,,,,,,,,,,,,,
#,20100806,座標をメッシュ内座標に変換,,,,,,,,,,,,,,,,,,
#,20101116,"tag=R655重複。同一幹？ -> -1 -2をつけ、-2の方に行頭に#をつけた（110112)->-2の方を削除し""-1""をとった",,,,,,,,,,,,,,,,,,
#,,"tag=H434重複。同一幹？ -> -1 -2をつけ、-2の方に行頭に#をつけた（110112)->-2の方を削除し""-1""をとった",,,,,,,,,,,,,,,,,,
#,,同株異種 P192 P195 -> P192を別個体とした　　,,,,,,,,,,,,,,,,,,
#,20110216,2010年データの追加,,,,,,,,,,,,,,,,,,
#,,1   tag_no= H57　H295 H435 R487 R486 H909 P986 W732N248 のgbhは測定間違いの可能性あり-->gbh06をnd,,,,,,,,,,,,,,,,,,
#,,2  tag_no= H199 のgbhは測定間違いの可能性あり-->gbh06をnd,,,,,,,,,,,,,,,,,,
#,,9  tag_no= M962 のgbhは測定間違いの可能性あり-->gbh10をnd,,,,,,,,,,,,,,,,,,
#,,11 tag_no= W360 のgbhは測定間違いの可能性あり-->gbh10をcd,,,,,,,,,,,,,,,,,,
#,20170706,過去データをサイトからのデータと見比べてチェック（日野貴文）,,,,,,,,,,,,,,,,,,
#,,タグ番号W931が重複。過去のデータによりgbh10に枯死した幹をN491に修正,,,,,,,,,,,,,,,,,,
#,,G943　ヤマモモが抜けていたので追加,,,,,,,,,,,,,,,,,,
#,,過去データでは2006年当時枯死していた個体は、モニ1000データから除かれていたので、サイトデータから復元,,,,,,,,,,,,,,,,,,
#,,サイトデータのうち、タグ番号がなく2006年より前にすで枯死していたと思われる個体の行は除いた。,,,,,,,,,,,,,,,,,,
#,,"タグ番号H911,L936,964はgbh06の欄が「?」になっており、その後計測されずかつnote欄から枯死だと思われる→dを入力",,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh10","gbh13","note06","note10","note13","s_date06","s_date10","s_date13","mesh_original","tag_no_2010","tag_no_old","indv_no_old","tag_no_new","dl06","dl10","dl13","rec06","rec10","rec13","error06","error10","error13"
20,0,"H50","H50","5","1.8","ホソバタブ",22.7,NA,NA,NA,"消失",NA,"20070306",20101026,20131101,"Aa3","H50","H50","H50","H50",0,1,2,0,0,0,0,0,0
20,0,"H46","H46","5","3","モクタチバナ",28.5,28.9,28.9,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H46","H46","H46","H46",0,0,0,0,0,0,0,0,0
20,0,"H45","H45","5","8","ヤブツバキ",30.3,32,33,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H45","H45","H45","H45",0,0,0,0,0,0,0,0,0
20,0,"H44","H44","5","0.3","ホソバタブ",43,45,44.8,NA,NA,"前回あまい","20070306",20101026,20131101,"Aa3","H44","H44","H44","H44",0,0,0,0,0,0,0,0,0
20,0,"P855","P855","6","2","イスノキ",108.9,114.7,116.4,NA,NA,NA,"20070306",20101026,20131101,"Aa3","P855","P855","P855","P855",0,0,0,0,0,0,0,0,0
20,0,"H52","H52","7","6","モクタチバナ",33.7,33.5,34,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H52","H52","H52","H52",0,0,0,0,0,0,0,0,0
20,0,"H53","H53","7","7","ヤブツバキ",64.3,65,65.3,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H53","H53","H53","H53",0,0,0,0,0,0,0,0,0
20,0,"H54","H54","7","10","サザンカ",35.6,35.5,36,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H54","H54","H54","H54",0,0,0,0,0,0,0,0,0
20,0,"H49","H49","8","0","ヒサカキ",37.4,37.4,37.4,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H49","H49","H49","H49",0,0,0,0,0,0,0,0,0
20,0,"H56","H56","9","2","フカノキ",39.1,39.3,39,NA,NA,NA,"20070306",20101026,20131101,"Aa3","H56","H56","H56","H56",0,0,0,0,0,0,0,0,0
20,0,"H55","H55","9","2","モクタチバナ",38.6,NA,NA,NA,"根返り　枯死",NA,"20070306",20101026,20131101,"Aa3","H55","H55","H55","H55",0,1,2,0,0,0,0,0,0
30,0,"H57","H57","0","5","ホソバタブ",108.6,101,103.5,NA,"100.6 OK",NA,"20070306",20101026,20131101,"Aa4","H57","H57","H57","H57",0,0,0,0,0,0,1,0,0
30,0,"H48","H48","0","5","ホソバタブ",24.3,26,28,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H48","H48","H48","H48",0,0,0,0,0,0,0,0,0
30,0,"H73","H73","4","1","クロガネモチ",29.6,29.5,29.4,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H73","H73","H73","H73",0,0,0,0,0,0,0,0,0
30,0,"H58","H58","4","8","モクタチバナ",81.8,82.2,82.5,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H58","H58","H58","H58",0,0,0,0,0,0,0,0,0
30,0,"H72","H72","5","1.8","モクタチバナ",93,93.3,93,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H72","H72","H72","H72",0,0,0,0,0,0,0,0,0
30,0,"H71","H71","5","2.2","バリバリノキ",103.5,107,109.1,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H71","H71","H71","H71",0,0,0,0,0,0,0,0,0
30,0,"H68","H68","5","4","フカノキ",65,66.1,66.8,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H68","H68","H68","H68",0,0,0,0,0,0,0,0,0
30,0,"H59","H59","5","9","バリバリノキ",23.7,24,24.1,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H59","H59","H59","H59",0,0,0,0,0,0,0,0,0
30,0,"H69","H69","5.5","3.7","モクタチバナ",19.3,19.3,19.8,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H69","H69","H69","H69",0,0,0,0,0,0,0,0,0
30,0,"H67","H67","6","4","ハマセンダン",164.4,164.2,164.2,"ツル込み","つる込み　1本　つるが多くて生死確認困難",NA,"20070306",20101026,20131101,"Aa4","H67","H67","H67","H67",0,0,0,0,0,0,0,0,0
30,0,"H60","H60","6","8","モクタチバナ",58,58.2,58,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H60","H60","H60","H60",0,0,0,0,0,0,0,0,0
30,0,"H74","H74","7","7","バリバリノキ",19,19.8,NA,NA,NA,"消失","20070306",20101026,20131101,"Aa4","H74","H74","H74","H74",0,0,1,0,0,0,0,0,0
30,0,"H61","H61","7","8","モクタチバナ",39.1,39,39.2,NA,NA,NA,"20070306",20101026,20131101,"Aa4","H61","H61","H61","H61",0,0,0,0,0,0,0,0,0
