#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田 利博,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Fuji (FJ-AT1). ,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,富士,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,FJ-AT1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.5ha,0.25ha*2,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/note,20090515,ツル込み・ツル抜きのコメントを整理（石原正恵）,,,,,,,,,,,,,,,,
#,20091019,樹木の位置は今後計測予定,,,,,,,,,,,,,,,,
#,20100223,データを元ファイルから作り直して、1999年の測定列を追加,,,,,,,,,,,,,,,,
#,20100423,"tag_no=974_610 Gbh09=144.5?, 99=d, 04=na",,,,,,,,,,,,,,,,
#,,"99,04のgbhが胸高直径だったのでpiを掛けて、小数点第二位を丸めた。",,,,,,,,,,,,,,,,
#,,tag_no=469のgbh99をndに,,,,,,,,,,,,,,,,
#,,tag_no=537のgbh04をviに,,,,,,,,,,,,,,,,
#,20171108,データ公開データのためのエラーチェック（日野）,,,,,,,,,,,,,,,,
#,,枯死の次の調査以降のgbhがnaになっていない個体を修正,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh99","gbh04","gbh09","gbh14","note99","note04","note09","note14","s_date99","s_date04","s_date09","s_date14","dl99","dl04","dl09","dl14","rec99","rec04","rec09","rec14","error99","error04","error09","error14"
NA,NA,"436",NA,NA,NA,"ミツバウツギ",33,40.2,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"437",NA,NA,NA,"ミツバウツギ",17.3,18.2,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"438",NA,NA,NA,"ヤマブドウ",10.4,14.5,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,-1,1,0,0,0,0,0,0
NA,NA,"439",NA,NA,NA,"ミズキ",73.5,76,83.2,93.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"440",NA,NA,NA,"ミツバウツギ",24.2,25.8,26.2,26.1,NA,NA,"半枯れ","半枯れ","19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"441",NA,NA,NA,"ミツバウツギ",24.2,26.4,27.6,29.1,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"442",NA,NA,NA,"カラマツ",106.2,111.8,114.5,117.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"443",NA,NA,NA,"ミツバウツギ",14.5,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,-1,-1,-1,-1,0,0,0,0
NA,NA,"444",NA,NA,NA,"ミツバウツギ",18.2,20.4,20.2,21.6,NA,NA,"半枯れ","半枯れ","19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"445",NA,NA,NA,"ミツバウツギ",14.5,15.7,16,16.8,NA,NA,"半枯れ","半枯れ","19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"446",NA,NA,NA,"ミツバウツギ",11,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,-1,-1,-1,-1,0,0,0,0
NA,NA,"447",NA,NA,NA,"オクイボタ",29.8,30.2,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"448",NA,NA,NA,"マユミ",15.7,17.6,21.8,26,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"449",NA,NA,NA,"クロツバラ",11.9,13.2,16.8,NA,NA,NA,NA,"枯れ","19990402","20040610","20091006",20140310,0,0,0,1,-1,1,0,0,0,0,0,0
NA,NA,"450",NA,NA,NA,"ヤマブドウ",14.8,15.4,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,-1,1,0,0,0,0,0,0
NA,NA,"452",NA,NA,NA,"ヤマブドウ",13.5,15.1,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,-1,1,0,0,0,0,0,0
NA,NA,"453",NA,NA,NA,"クロツバラ",14.8,16.7,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,-1,1,0,0,0,0,0,0
NA,NA,"454",NA,NA,NA,"カラマツ",100.5,99.9,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"455",NA,NA,NA,"ツリバナ",15.7,19.2,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"456",NA,NA,NA,"ズミ",15.7,15.4,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
NA,NA,"457",NA,NA,NA,"ヤマグワ",60,66.9,73.6,71.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"458",NA,NA,NA,"ミズキ",50.6,56.5,64.5,70.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"459",NA,NA,NA,"ミツバウツギ",20.4,21.7,23,25.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"460",NA,NA,NA,"カラマツ",100.5,96.8,99.7,101.7,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"461",NA,NA,NA,"ミツバウツギ",13.5,14.8,15.1,17,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"462",NA,NA,NA,"ミツバウツギ",13.2,13.5,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,-1,1,0,0,0,0,0,0
NA,NA,"463",NA,NA,NA,"クロツバラ",21,23.9,17.1,28.7,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"464",NA,NA,NA,"クロツバラ",13.8,14.5,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,-1,1,0,0,0,0,0,0
NA,NA,"465",NA,NA,NA,"カラマツ",76.3,77.9,77.8,NA,NA,NA,NA,"倒れ、枯れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"466",NA,NA,NA,"ミツバウツギ",27.3,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,0,0,0,0,0,0,0,0
NA,NA,"467",NA,NA,NA,"ヤマブドウ",20.1,22,27.5,NA,NA,NA,NA,"倒れ、枯れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"468",NA,NA,NA,"クロツバラ",18.5,19.2,20.6,NA,NA,NA,NA,"倒れ、枯れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"469",NA,NA,NA,"ヤマブドウ",14.1,25.1,30.6,29.6,NA,NA,NA,"倒れ","19990402","20040610","20091006",20140310,0,0,0,0,0,1,0,0,1,0,0,0
NA,NA,"470",NA,NA,NA,"カラマツ",114.7,115.6,118,NA,NA,NA,NA,"倒れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"471",NA,NA,NA,"オニグルミ",14.8,18.2,23.1,27.1,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"472",NA,NA,NA,"ミツバウツギ",28.3,29.8,31.7,33.1,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"473",NA,NA,NA,"ミツバウツギ",17,18.5,18.1,NA,NA,NA,NA,"枯れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"474",NA,NA,NA,"ミツバウツギ",27,32,33.5,33.8,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"475",NA,NA,NA,"ヤマグワ",24.2,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,0,0,0,0,0,0,0,0
NA,NA,"476",NA,NA,NA,"ヤマグワ",37.1,40.5,44.6,51.8,NA,NA,NA,"斜め","19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"477",NA,NA,NA,"オニグルミ",55.9,58.7,65.2,68.4,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"478",NA,NA,NA,"オニグルミ",33.6,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,0,0,0,0,0,0,0,0
NA,NA,"479",NA,NA,NA,"ミツバウツギ",10.4,13.5,15.3,18.1,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"480",NA,NA,NA,"ミツバウツギ",16,17.3,17.4,NA,NA,NA,NA,"倒れ、枯れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"481",NA,NA,NA,"ミツバウツギ",22.3,23.9,23.5,NA,NA,NA,NA,"倒れ、枯れ","19990402","20040610","20091006",20140310,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"482",NA,NA,NA,"ミツバウツギ",28.9,31.4,33.6,44.6,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"483",NA,NA,NA,"ミツバウツギ",15.1,NA,NA,NA,NA,"枯れ","枯れ","枯れ","19990402","20040610","20091006",20140310,0,1,2,2,-1,-1,-1,-1,0,0,0,0
NA,NA,"484",NA,NA,NA,"オニグルミ",80.1,89.8,101.6,106.3,NA,NA,NA,"中折れ、半枯れ","19990402","20040610","20091006",20140310,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"485",NA,NA,NA,"ミツバウツギ",10.7,15.1,16.1,20.2,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"486",NA,NA,NA,"クロツバラ",14.8,16.7,18.3,19.1,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"487",NA,NA,NA,"カマツカ",11.3,12.6,13.5,16.4,NA,NA,NA,NA,"19990402","20040610","20091006",20140310,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"488",NA,NA,NA,"カマツカ",22.9,23.2,NA,NA,NA,NA,"枯れ","枯れ","19990402","20040610","20091006",20140310,0,0,1,2,0,0,0,0,0,0,0,0
