#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,大久保達弘,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kaname Gawa (KK-DB1).,,,,,,,,,,,
#,SITE NAME,サイト名,金目川（小国町金目川在所平ブナ林）,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,
#,PLOT CODE,調査区コード,KK-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,,,,,,,,,,,,,,
#/log,20070501,Data of 2006 was arranged.,,,,,,,,,,,,
#,20171030,データ確認（日野貴文）,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れとうの枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh10","gbh15","note10","note15","s_date10","s_date15","tag_no10","indv_no10","dl10","dl15","rec10","rec15","error10","error15"
0,90,10265,10265,2,9.9,"テツカエデ",16.7,16.8,"","幹折れ",20100818,20150902,10265,10265,0,0,0,0,0,0
0,90,50044,50044,6.5,7.5,"ブナ",25.1,25.8,"無害","幹折れ",20100818,20150902,50044,50044,0,0,0,0,0,0
0,90,50045,50045,9.7,6.5,"ブナ",112.9,122.4,"つるこみ、微害","前回GBH誤り?新規タグ15117",20100818,20150902,50045,50045,0,0,0,0,0,0
0,90,50046,50046,9.6,1.8,"オオバクロモジ",21,NA,"","不明",20100818,20150902,50046,50046,0,1,0,0,0,0
10,0,50047,50047,0,7,"ブナ",208.6,208.7,"中害","",20100817,20150902,50047,50047,0,0,0,0,0,0
10,0,50048,50048,5,7.5,"ムシカリ",15,15.3,"タムシバ","",20100817,20150902,50048,50048,0,0,-1,-1,0,0
10,0,50049,50049,7.5,4.4,"イタヤカエデ",20.6,NA,"","立ち枯れ",20100817,20150902,50049,50049,0,1,0,0,0,0
10,10,10276,10276,0.6,9.1,"コハウチワカエデ",20.1,18.7,"","萌芽(50054)",20100818,20150902,10276,10276,0,0,0,0,0,0
10,10,50051,50051,0.9,6.9,"コハウチワカエデ",20.4,21.5,"","",20100818,20150902,50051,50051,0,0,0,0,0,0
10,10,50052,50051,0.9,6.9,"コハウチワカエデ",16.5,18,"","",20100818,20150902,50052,50051,0,0,0,0,0,0
10,10,50054,50054,0.6,9.1,"コハウチワカエデ",20.3,15.3,"","前回GBH誤り",20100818,20150902,50054,50054,0,0,0,0,0,0
10,10,50055,50055,7.5,7,"ブナ",369.2,370,"つる込み、微害","",20100818,20150902,50055,50055,0,0,0,0,0,0
10,10,50056,50056,10,6.5,"コハウチワカエデ",34,34.8,"","",20100818,20150902,50056,50056,0,0,0,0,0,0
