#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田俊弘,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Miyajima (MY-EB1).,,,,,,,,,,
#,SITE NAME,サイト名,宮島,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,
#,PLOT CODE,調査区コード,MY-EB1,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,
#,,note,備考,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,
#/note,20100409,データ成形（鈴木智之）,,,,,,,,,,,
#,,"tag_no=1588,1722,1777,2193","spc_japanが""枯れ""","spc_japan,gbh09をndに修正",,,,,,,,,
#,,tag_no=1633,"spc_japanが""しき「""->シキミ(20100430)",,,,,,,,,,
#,,"tag_no=1086,1087,1088,1089,1090,1163,1164,1165",spc_japanがワタゲワタゲカマツカ→ワタゲカマツカ,,,,,,,,,,
#,,tag_no=347,spc_japan=?,ndに修正、備考に種不明,,,,,,,,,
#,,"tag_no=2095,2171,2269,2270,2274,2275",spc_japan=落葉樹?,ndに修正、備考に落葉樹?,,,,,,,,,
#,,tag_no=1827,種名記入もれ？->入力(20100430),,,,,,,,,,
#,,tag_no=138,stem_ycord記入もれ->入力(20100430),,,,,,,,,,
#,,"tag_no=709,2378,2379,2392",xy_cord記入もれ->入力(20100430),,,,,,,,,,
#,,同株異種,,,,,,,,,,,
#,,,"[1] ""768,ミミズバイ"" ""768,サカキ -> 同定間違い？サカキをミミズバイに",,,,,,,,,,
#,,,"[1] ""1261,ネジキ""     ""1261,ミミズバイ""->1252は1251と同株",,,,,,,,,,
#,,,"[1] ""1632,シキミ"" ""1632,nd""->1632はシキミ    ",,,,,,,,,,
#,,,"[1] ""1952,ネジキ""   ""1952,ヒサカキ""->1948-1950のネジキは1951のネジキと同株",,,,,,,,,,
#,,,"[1] ""2061,ネジキ"" ""2061,シキ->2379はネジキ",,,,,,,,,,
#,20100430,"tag_no=2374,2375,2376,2377 (アラカシ）",tag2378 (シリブカガシ）と同株になっている→おそらく2376の間違い,,,,,,,,,,
#,20171210,公開データのためのデータチェック(日野),,,,,,,,,,,
#,,サイトから提出されたdbh14データをgbhに換算,,,,,,,,,,,
#,,2014年にタグ交換されたと思われる個体は旧タグ番号をtag_no2009に入力,,,,,,,,,,,
#,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh09","gbh14","note09","note14","s_date09","s_date14","tag_no2009","dl09","dl14","rec09","rec14","error09","error14"
"30",0,"82","82","4.5","4.7","ミミズバイ",71,72.5707903,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"83","83","8","4.2","ミミズバイ",51,51.20796025,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"84","84","7.3","10","クスノキ",95,103.3583983,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"85","85","7.2","10","ネズミモチ",17,17.90707813,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"86","89","4.5","9","シリブカガシ",15.5,NA,"89と同株","枯死","20070809",20140424,NA,0,1,-1,-1,0,0
"30",0,"87","89","3.6","9.6","シリブカガシ",25.5,NA,"89と同株","枯死","20070809",20140424,NA,0,1,0,0,0,0
"30",0,"88","89","3","9","シリブカガシ",72,75.39822369,"89と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"89","89","3","8.9","シリブカガシ",76.5,78.85397561,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"30",0,"90","89","3.2","7.9","シリブカガシ",52.5,53.40707511,"89と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"4",1,"3401",NA,NA,NA,"ヤブツバキ",NA,14.29424657,NA,NA,NA,20140515,NA,0,0,-1,-1,0,0
"40",0,"91","91","2.5","0.7","ミミズバイ",44,44.29645642,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"40",0,"92","92","4.2","0.6","ミミズバイ",130,137.9159175,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"40",0,"93","93","5.1","2.3","カナメモチ",37,39.26990817,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"40",0,"94","94","8.6","4.4","シリブカガシ",95.5,98.96016859,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"40",0,"95","95","9.5","5.6","イヌガシ",78,80.58185156,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"40",0,"96","96","6.5","8.6","ミミズバイ",14.5,16.65044106,NA,NA,"20070809",20140424,NA,0,0,-1,1,0,0
"40",0,"97","97","6.1","9.4","シリブカガシ",34.5,35.18583772,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"40",0,"98","98","1.7","7.3","アラカシ",111,119.8517597,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"50",0,"99","99","1.1","0.4","ヤマウルシ",33.5,33.77212103,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"50",0,"100","100","2.9","0.2","シリブカガシ",37,36.75663405,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"50",0,"101","101","5.7","1.2","シリブカガシ",57,57.49114556,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"50",0,"102","102","6.1","1.9","シリブカガシ",52,86.70795724,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"50",0,"103","103","6","2.9","ミミズバイ",36,36.44247478,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"50",0,"104","104","9.7","0.2","ヤブツバキ",20,21.36283004,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
