#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tsushima-Mt. Tatera　(TT-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,対馬龍良山,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TT-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,20080715,シイノキ＞スダジイへ,,,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,,,
#,,"セル(50,90)内でW150重複-> -1 -2をつけた",,,,,,,,,,,,,,,,
#,20130108,データ成形（佐伯）,,,,,,,,,,,,,,,,
#,20180202,データ成形（日野）,,,,,,,,,,,,,,,,
#,,new_tag_naに値のある幹は、tag_noにその内容を移動させ、tag_noに入っていたタグ番号はold_tag_noに移動,,,,,,,,,,,,,,,,
#,,スダシイ→スダジイに修正,,,,,,,,,,,,,,,,
#,,new_tag_naにnWC368が二つあったので、この2個体についてはタグ番号の更新をせず、サイトに問い合わせして修正,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"tag_no","indv_no","mesh_xcord","mesh_ycord","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","gbh17","note07","note12","note17","s_date07","s_date12","s_date17","memo_20180201","old_tag_no","new_tag_na","dl07","dl12","dl17","rec07","rec12","rec17","error07","error12","error17"
"nYA305","nYA305",0,40,7.5,1.8,"ヤブツバキ",60,61,61.8,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA306","nYA306",0,40,6,1,"イスノキ",65.5,65.1,65.3,"","前回ミス？","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA312","nYA312",0,40,5,7.8,"サカキ",42,42.3,42.3,"階層確認必要","階層４のままでOK","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nW_022","nW_022",0,50,6.2,6.7,"イヌガシ",14.8,14.9,14.9,"","","低木データより移行",NA,"20121113","20171009","","","",0,0,0,-1,-1,-1,0,0,0
"nYA139","nYA139",0,50,0.2,9,"サカキ",53.5,53.8,54.7,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA140","nYA140",0,50,3,7.7,"ヤブツバキ",24.1,24.2,24.2,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA141","nYA141",0,50,4,7,"サカキ",103.2,103.7,104.3,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA142","nYA142",0,50,1.3,3.4,"ヤブニッケイ",21.7,22.1,22.2,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWC574","nYA143",0,50,1.1,2.2,"イスノキ",41.7,44.6,45.3,"","","","20071122","20121111","20171009","","nYA143","nWC574",0,0,0,0,0,0,0,0,0
"nYA144","nYA144",0,50,3,3.4,"サカキ",62.8,66.6,68.8,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA145","nYA145",0,50,3.7,3.2,"イヌマキ",28.9,28.9,29.3,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWC575","nYA146",0,50,1,0.3,"クロバイ",29.1,29.1,29.3,"","","","20071122","20121111","20171009","","nYA146","nWC575",0,0,0,0,0,0,0,0,0
"nYA313","nYA313",0,50,9.8,1.2,"イスノキ",22.4,22.6,22.9,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA314","nYA314",0,50,9.7,2.2,"サカキ",85.5,87.7,90.2,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA318","nYA318",0,50,9.9,8.9,"ヤブツバキ",51.5,51.9,52.3,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA319","nYA319",0,50,8.1,7.8,"サカキ",35.4,35.4,35.4,"G97測定ミス","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYB919","nYB919",0,50,7.5,5.1,"シロダモ",15.8,15.7,15.8,"低木データ(No2948)より移行","旧No.W23","","20071220","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWC328","nWC328",0,60,3.5,4.4,"イスノキ",15.49,15.7,15.9,"低木データより移行, 番号付替必要","新番号貼り付け済","","20071221","20121111","20171009","","","",0,0,0,-1,1,0,0,0,0
"nWC576","nYA147",0,60,0.6,1.5,"イスノキ",121.8,127.6,133.6,"","林冠抜ける","","20071122","20121111","20171009","","nYA147","nWC576",0,0,0,0,0,0,0,0,0
"nYA150","nYA150",0,60,4,1.3,"イスノキ",28.8,28.9,29,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA151","nYA151",0,60,3.5,7,"イスノキ",99.3,101.2,101.5,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA152","nYA152",0,60,3.8,6.1,"スダジイ",362.6,364.9,371.1,"","枯幹を入れて測る","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA153","nYA153",0,60,2,7.9,"イスノキ",33.3,34,32.3,"","","G12ミス？","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA154","nYA154",0,60,2.6,7.8,"イスノキ",31.3,31.5,31.7,"先折れ","先折れ,階層降格","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA156","nYA156",0,60,1,6.3,"ネズミモチ",27.5,28,28.1,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
