#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,高嶋敦史,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Yakushima-sugirin (YS-EC1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,屋久島スギ林(天文の森),,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,YS-EC1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#/note,,"基準XYは２０ｍごとの２０ｍ方形区の座標で、幹のX,Yはそれぞれの基準XYからの幹の根元位置の座標です。->10m meshに",,,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）、メッシュ記号の行は削除した,,,,,,,,,,,,,,,,
#,20080710,tag_no=W44 種名空欄-->サクラツツジへ。おそらく（石原・新山）,,,,,,,,,,,,,,,,
#,20090919,tag_no= F92とW157は樹種が異なるのに同じindv_no-->別個体へ（石原）,,,,,,,,,,,,,,,,
#,,W157のnote07に「F92と162007同株（4個体同株）」とあり、位置も同じなので、F92と162007は同株、W156とW157が同株に修正（石原）,,,,,,,,,,,,,,,,
#,20100810,"mesh,stemのXY座標を10m-meshに変換、originalを別の列に残す(鈴木）",,,,,,,,,,,,,,,,
#,20101116,E369はmesh内座標がnaのため、10m-meshはとりあえずひとつ上のデータと同じにした,,,,,,,,,,,,,,,,
#,,tag=W123重複-> -1 -2をつけた,,,,,,,,,,,,,,,,
#,20130208,データチェック（佐伯）,,,,,,,,,,,,,,,,
#,,*　（アスタリスク）をNCのデータ整理上、ndとする。,,,,,,,,,,,,,,,,
#,,tag_no=R59が重複。片方をR59-2とする。,,,,,,,,,,,,,,,,
#,20130301,"tag_no=60029, 60039, 20041, 90022, 120001, 100021, 100037, 110016, 130005, 182004, 150034, 180011, R168は、前回測定値とやや値が異なるので、次回調査時に再度確認されたい。（佐伯）",,,,,,,,,,,,,,,,
#,20171111,データ確認（日野貴文）,,,,,,,,,,,,,,,,
#,,gbhのセルに大文字のNA→モニ1000フォーマットに従い小文字のnaに,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","note07","note12","s_date07","s_date12","mesh_xcord_original","mesh_ycord_original","stem_xcord_original","stem_ycord_original","tag_no_2012","indv_no_2012","dl07","dl12","rec07","rec12","error07","error12"
"0","10","11011","11011","7.0 ","5.0 ","シキミ",36.6,36.5,NA,"樹種訂正","20070916",20120905,0,0,"7.0 ","15.0 ","11011","11011",0,0,0,0,0,0
"0","10","11012","11012","9.0 ","6.0 ","シキミ",26,26.6,NA,"樹種訂正","20070916",20120905,0,0,"9.0 ","16.0 ","11012","11012",0,0,0,0,0,0
"0","10","11016","11016","9.0 ","5.8 ","シキミ",18.3,18.1,NA,"樹種訂正","20070916",20120905,0,0,"9.0 ","15.8 ","11016","11016",0,0,0,0,0,0
"0","0","11020","11020","1.0 ","4.1 ","シキミ",25.3,25,NA,NA,"20070916",20120905,0,0,"1.0 ","4.1 ","11020","11020",0,0,0,0,0,0
"10","0","11021","11021","9.4 ","5.0 ","シキミ",34.5,36.9,NA,NA,"20070916",20120905,0,0,"19.4 ","5.0 ","11021","11021",0,0,0,0,0,0
"0","0","12001","12001","2.3 ","3.7 ","ハイノキ",19.2,21.3,NA,NA,"20070916",20120905,0,0,"2.3 ","3.7 ","12001","12001",0,0,0,0,0,0
"0","0","12002","12002","0.3 ","5.3 ","ハイノキ",17.5,18,NA,NA,"20070916",20120905,0,0,"0.3 ","5.3 ","12002","12002",0,0,0,0,0,0
"0","0","12003","12003","1.0 ","8.9 ","ハイノキ",16.5,17,NA,NA,"20070916",20120905,0,0,"1.0 ","8.9 ","12003","12003",0,0,0,0,0,0
"0","0","12004","12004","2.8 ","7.0 ","シキミ",16.7,16.7,NA,NA,"20070916",20120905,0,0,"2.8 ","7.0 ","12004","12004",0,0,0,0,0,0
"0","10","12005","12005","3.0 ","3.0 ","サクラツツジ",22,23.7,"W1","プレートなし","20070916",20120905,0,0,"3.0 ","13.0 ","12005","12005",0,0,0,0,0,0
"0","10","12006","12006","1.0 ","6.5 ","シキミ",17.9,17.6,NA,NA,"20070916",20120905,0,0,"1.0 ","16.5 ","12006","12006",0,0,0,0,0,0
"0","10","12007","12007","0.7 ","8.4 ","シキミ",23.5,26,NA,"D206と同一","20070916",20120905,0,0,"0.7 ","18.4 ","12007","12007",0,0,0,0,0,0
"0","10","12008","12008","3.0 ","8.5 ","ハイノキ",NA,17.8,"測定漏れ",NA,"20070916",20120905,0,0,"3.0 ","18.5 ","12008","12008",0,0,0,0,1,0
"0","10","12009","12009","10.0 ","9.0 ","シキミ",24.8,28,NA,"D207と同一","20070916",20120905,0,0,"10.0 ","19.0 ","12009","12009",0,0,0,0,0,0
"10","10","12010","12010","0.3 ","8.9 ","シキミ",29,29.3,NA,"D208と同一","20070916",20120905,0,0,"10.3 ","18.9 ","12010","12010",0,0,0,0,0,0
"10","10","12011","12011","0.3 ","7.9 ","シキミ",18.9,20.8,NA,"D414と同一","20070916",20120905,0,0,"10.3 ","17.9 ","12011","12011",0,0,0,0,0,0
"10","10","12012","12012","0.3 ","7.9 ","シキミ",18.5,19.2,NA,"D413と同一","20070916",20120905,0,0,"10.3 ","17.9 ","12012","12012",0,0,0,0,0,0
"10","10","12014","12014","6.0 ","4.0 ","シキミ",17.3,18.3,NA,NA,"20070916",20120905,0,0,"16.0 ","14.0 ","12014","12014",0,0,0,0,0,0
"10","10","12015","12015","7.3 ","4.7 ","ハイノキ",19.6,20.7,NA,NA,"20070916",20120905,0,0,"17.3 ","14.7 ","12015","12015",0,0,0,0,0,0
"10","0","12016","12016","8.0 ","5.0 ","シキミ",21,22.3,"D426",NA,"20070916",20120905,0,0,"18.0 ","5.0 ","12016","12016",0,0,0,0,0,0
"10","0","12019","12019","5.3 ","3.0 ","ハイノキ",20.6,NA,"D210",NA,"20070916",20120905,0,0,"15.3 ","3.0 ","12019","12019",0,1,0,0,0,0
"10","10","22013","22013","8.3 ","3.2 ","ハイノキ",16.3,15.7,NA,NA,"20070916",20120905,0,0,"18.3 ","13.2 ","22013","22013",0,0,0,0,0,0
"10","10","22017","22017","9.5 ","7.4 ","シキミ",23,26,NA,NA,"20070916",20120905,0,0,"19.5 ","17.4 ","22017","22017",0,0,0,0,0,0
"10","10","22025","22025","9.8 ","9.7 ","シキミ",27,34.2,NA,NA,"20070916",20120905,0,0,"19.8 ","19.7 ","22025","22025",0,0,0,0,0,0
"0","10","D412","D412","4.9 ","7.5 ","サカキ",28.2,30.3,NA,NA,"20070916",20120905,0,0,"4.9 ","17.5 ","D412","D412",0,0,0,0,0,0
"10","10","D415","D415","2.0 ","9.9 ","シキミ",31,NA,NA,"発見できず","20070916",20120905,0,0,"12.0 ","19.9 ","D415","D415",0,1,0,0,0,0
"10","10","D416","D416","4.8 ","4.8 ","ハイノキ",18.3,18.6,NA,NA,"20070916",20120905,0,0,"14.8 ","14.8 ","D416","D416",0,0,0,0,0,0
"10","10","D417","D417","5.0 ","5.0 ","ハイノキ",25,26.5,NA,NA,"20070916",20120905,0,0,"15.0 ","15.0 ","D417","D417",0,0,0,0,0,0
"0","0","D418","D418","9.5 ","3.5 ","シキミ",27.5,27.2,NA,NA,"20070916",20120905,0,0,"9.5 ","3.5 ","D418","D418",0,0,0,0,0,0
"10","0","D419","D419","5.4 ","4.8 ","ハイノキ",17.7,19.1,NA,NA,"20070916",20120905,0,0,"15.4 ","4.8 ","D419","D419",0,0,0,0,0,0
"10","10","D421","D421","5.1 ","5.1 ","ハイノキ",18,17.5,NA,NA,"20070916",20120905,0,0,"15.1 ","15.1 ","D421","D421",0,0,0,0,0,0
"10","10","D422","D422","2.0 ","5.7 ","シキミ",33.5,35,NA,NA,"20070916",20120905,0,0,"12.0 ","15.7 ","D422","D422",0,0,0,0,0,0
"10","0","D424","D424","9.0 ","2.0 ","シキミ",48.3,NA,"倒れ",NA,"20070916",20120905,0,0,"19.0 ","2.0 ","D424","D424",0,1,0,0,0,0
"10","10","R39","R39","6.0 ","7.0 ","シキミ",19.6,22.2,NA,NA,"20070916",20120905,0,0,"16.0 ","17.0 ","R39","R39",0,0,0,0,0,0
"0","10","R44","R44","0.1 ","9.0 ","シキミ",18.7,22.1,NA,NA,"20070916",20120905,0,0,"0.1 ","19.0 ","R44","R44",0,0,0,0,0,0
"10","10","R45","R45","9.0 ","6.0 ","ハイノキ",15.7,16.4,NA,NA,"20070916",20120905,0,0,"19.0 ","16.0 ","R45","R45",0,0,0,0,0,0
"10","10","R46","D422","2.0 ","5.7 ","シキミ",17.6,18.6,NA,NA,"20070916",20120905,0,0,"12.0 ","15.7 ","R46","D422",0,0,0,0,0,0
"10","10","R48","R48","7.5 ","3.0 ","シキミ",17.8,18.5,NA,NA,"20070916",20120905,0,0,"17.5 ","13.0 ","R48","R48",0,0,0,0,0,0
"0","10","R49","R49","9.0 ","3.0 ","シキミ",18.3,18.5,NA,NA,"20070916",20120905,0,0,"9.0 ","13.0 ","R49","R49",0,0,0,0,0,0
"10","10","R64","R64","7.0 ","6.0 ","シキミ",15,NA,NA,NA,"20070916",20120905,0,0,"17.0 ","16.0 ","R64","R64",0,1,-1,-1,0,0
"10","10","R101","10047","9.0 ","7.4 ","サクラツツジ",42.8,53.8,NA,NA,"20070916",20120905,0,0,"19.0 ","17.4 ","R101","10047",0,0,0,0,0,0
"0","10","R103","11018","7.9 ","6.5 ","サクラツツジ",48.6,48.9,NA,NA,"20070916",20120905,0,0,"7.9 ","16.5 ","R103","11018",0,0,0,0,0,0
"0","10","R104","11018","7.9 ","6.5 ","サクラツツジ",40,39.4,NA,NA,"20070916",20120905,0,0,"7.9 ","16.5 ","R104","11018",0,0,0,0,0,0
"0","10","Rec01-003","Rec01-003","3.8 ","7.8 ","ハイノキ",NA,15,NA,NA,NA,20120905,0,0,"3.8 ","17.8 ","Rec01-003","Rec01-003",0,0,-1,-1,0,0
"0","10","Rec01-004","Rec01-004","4.0 ","6.0 ","ハイノキ",NA,17.1,NA,NA,NA,20120905,0,0,"4.0 ","16.0 ","Rec01-004","Rec01-004",0,0,-1,1,0,0
"10","10","Rec01-005","Rec01-005","7.7 ","5.2 ","シキミ",NA,15.5,NA,NA,NA,20120905,0,0,"17.7 ","15.2 ","Rec01-005","Rec01-005",0,0,-1,-1,0,0
"10","10","Rec01-007","Rec01-007","0.9 ","10.0 ","ハイノキ",NA,19.6,NA,NA,NA,20120905,0,0,"10.9 ","20.0 ","Rec01-007","Rec01-007",0,0,-1,1,0,0
"10","10","Rec01-009","Rec01-009","9.5 ","0.7 ","ハイノキ",NA,16.5,NA,NA,NA,20120905,0,0,"19.5 ","10.7 ","Rec01-009","Rec01-009",0,0,-1,1,0,0
"10","0","Rec01-010","Rec01-010","6.6 ","6.8 ","ハイノキ",NA,16.9,NA,NA,NA,20120905,0,0,"16.6 ","6.8 ","Rec01-010","Rec01-010",0,0,-1,1,0,0
"0","0","Rec01-014","Rec01-014","9.4 ","5.5 ","シロダモ",NA,16.3,NA,NA,NA,20120905,0,0,"9.4 ","5.5 ","Rec01-014","Rec01-014",0,0,-1,1,0,0
"0","10","Rec01-017","Rec01-017","6.4 ","5.0 ","シロダモ",NA,15.6,NA,NA,NA,20120905,0,0,"6.4 ","15.0 ","Rec01-017","Rec01-017",0,0,-1,-1,0,0
"20","10","20001","20001","4.1 ","1.0 ","シキミ",113.6,115,NA,NA,"20070916",20120905,20,0,"4.1 ","11.0 ","20001","20001",0,0,0,0,0,0
