#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Handa Yama (HD-DB1）.,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,半田山（岡山）,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,HD-DB1,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,プロット形状（0.7×1.2）＋（0.4×0.4）ha,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,,,,
#,,林縁を避けたためプロットの形状が特殊である。,,,,,,,,,,,,,,,,,,,
#,20120221,2007年分も含めて新たにデータ成形（鈴木智之）,,,,,,,,,,,,,,,,,,,
#,,A16 gbh11をnd,,,,,,,,,,,,,,,,,,,
#,,D657 gbh11をvi,,,,,,,,,,,,,,,,,,,
#,,C56は成長が大きいが先駆種なのでありうる,,,,,,,,,,,,,,,,,,,
#,,A211 B104 B96 B68 B69 D675 D693 D518は大きい新規だが、先駆種なのでありうる,,,,,,,,,,,,,,,,,,,
#,,D658はデータの重複の可能性あり（片方の行頭に#をつけた）->重複だった（20120305削除）,,,,,,,,,,,,,,,,,,,
#,,"A86、D641-D653、D825タグの重複→片方に""_2""をつけた->A86、D825はA76、D852の間違いだった（20120305修正）",,,,,,,,,,,,,,,,,,,
#,20121016,tag_no B272のstem_idとindv_idおよびtan_no07（2007_P295）が重複していたため、ハイフンをつけた番号（2007_P295-2など）に修正（佐伯）．,,,,,,,,,,,,,,,,,,,
#,20171203,データチェック（日野）,,,,,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,,,,,
#,,生存だが測定不能の個体のｇｂｈの欄が「na」→「nd」を入力,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,2016,2016,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh11","gbh16","note07","note11","note16","s_date07","s_date11","s_date16","stem_id","indv_id","tag_no07","新tag_na","新indv_na","修正ありコメント","dl07","dl11","dl16","rec07","rec11","rec16","error07","error11","error16"
0,30,"A115","A115",8.1,2.2,"ネズミモチ",15.1,16.5,17.9,NA,NA,NA,"20071227","20111128","20161107","2007_PE143","2007_PE143","PE143","aS_1328","aS_1328","",0,0,0,-1,1,0,0,0,0
0,30,"A114","A114",8.1,5.4,"ヤマザクラ",15.4,26.9,28.3,"つるなし",NA,NA,"20071227","20111128","20161107","2007_PE144","2007_PE144","PE144","aS_1324","aS_1324","",0,0,0,-1,1,0,0,0,0
0,30,"A109","A109",9.6,6.3,"カクレミノ",35.5,39.7,45.8,NA,NA,NA,"20071227","20111128","20161107","2007_PE145","2007_PE145","PE145","aS_1323","aS_1323","",0,0,0,0,0,0,0,0,0
0,30,"A108","A108",9.6,7.9,"ヒサカキ",17,17.4,17.4,NA,NA,NA,"20071227","20111128","20161107","2007_PE146","2007_PE146","PE146","aS_1322","aS_1322","",0,0,0,0,0,0,0,0,0
0,30,"A107","A107",9.6,9.7,"ヒサカキ",16,16,16.3,NA,NA,NA,"20071227","20111128","20161107","2007_PE147","2007_PE147","PE147","aS_1321","aS_1321","",0,0,0,0,0,0,0,0,0
0,40,"A105","A105",0.1,1.7,"ヤマザクラ",62.3,63,NA,NA,NA,"幹折","20071227","20111128","20161107","2007_PE151","2007_PE151","PE151",NA,NA,"",0,0,1,0,0,0,0,0,0
0,40,"A104","A104",0.5,1,"ヤマザクラ",18.6,18.6,NA,NA,NA,"立枯","20071227","20111128","20161107","2007_PE150","2007_PE150","PE150",NA,NA,"",0,0,1,0,0,0,0,0,0
0,40,"A103","A101",2.4,3.4,"ヤブニッケイ",NA,15,20.9,NA,NA,"同株",NA,"20111128","20161107","2011_A103","2007_PE152",NA,"aS_1318","aS_1319","",0,0,0,-1,-1,1,0,0,0
0,40,"A102","A101",2.4,3.4,"ヤブニッケイ",NA,17.3,22.5,NA,NA,"同株",NA,"20111128","20161107","2011_A102","2007_PE152",NA,"aS_1317","aS_1319","",0,0,0,-1,1,0,0,0,0
0,40,"A101","A101",2.4,3.4,"ヤブニッケイ",31.8,34,37.4,NA,NA,"同株","20071227","20111128","20161107","2007_PE152","2007_PE152","PE152","aS_1319","aS_1319","",0,0,0,0,0,0,0,0,0
0,40,"PE157","PE157",3,6.1,"コナラ",81.7,NA,NA,NA,NA,NA,"20071227","20111128",NA,"2007_PE157","2007_PE157","PE157",NA,NA,"",0,1,2,0,0,0,0,0,0
0,40,"A96","A96",4.6,7.5,"モチノキ",16.4,19.1,23.2,NA,NA,NA,"20071227","20111128","20161107","2007_PE159","2007_PE159","PE159","aS_1310","aS_1310","",0,0,0,0,0,0,0,0,0
0,40,"A97","A97",5.6,5.9,"コナラ",120.8,125.8,132.3,"つる込",NA,NA,"20071227","20111128","20161107","2007_PE158","2007_PE158","PE158","aS_1311","aS_1311","",0,0,0,0,0,0,0,0,0
0,40,"A95","A95",5.7,7.1,"ナナミノキ",NA,15.5,15.5,NA,NA,NA,NA,"20111128","20161107","2011_A95","2011_A95",NA,"aS_1309","aS_1309","",0,0,0,-1,-1,-1,0,0,0
0,40,"A98","A98",6.6,4.2,"カクレミノ",57,59.6,65.4,NA,NA,NA,"20071227","20111128","20161107","2007_PE156","2007_PE156","PE156","aS_1315","aS_1315","",0,0,0,0,0,0,0,0,0
0,40,"A106","A106",8.4,0.5,"ヒサカキ",30.8,31.6,31.9,NA,NA,NA,"20071227","20111128","20161107","2007_PE153","2007_PE153","PE153","aS_1320","aS_1320","",0,0,0,0,0,0,0,0,0
